# vertex , MCSL core
0,0
1,1
2,2
3,3
# MCSL task , MCSL core,request
0,0,0
0,0,0
0,0,1
0,0,2
0,0,2
0,0,0
1,1,0
1,1,0
2,0,0
3,1,5
4,2,8
4,2,0
4,2,6
4,2,7
5,3,0
5,3,0
5,3,0
5,3,10
6,3,10
7,0,0
8,3,11
8,3,11
8,3,11
8,3,10
8,3,9
8,3,0
8,3,9
8,3,0
8,3,11
9,2,0
10,0,0
11,1,5
12,3,11
13,3,9
14,1,5
15,1,0
15,1,3
16,1,5
17,2,0
18,3,9
18,3,10
19,2,6
19,2,7
19,2,7
20,2,7
20,2,7
20,2,8
20,2,0
21,1,5
22,0,2
23,3,9
24,0,0
25,3,10
26,2,7
27,2,6
28,0,0
28,0,0
29,1,0
30,1,3
30,1,0
31,0,1
32,1,5
33,1,0
34,1,3
34,1,5
34,1,3
34,1,4
35,3,0
36,2,0
37,3,0
38,0,0
38,0,2
39,1,0
40,1,5
40,1,3
40,1,0
41,3,0
42,0,0
43,3,10
44,0,2
44,0,0
44,0,1
45,2,7
46,3,10
47,0,0
48,2,6
48,2,6
49,1,0
49,1,5
50,1,4
50,1,0
50,1,3
51,1,5
52,3,11
53,0,1
54,2,0
55,1,0
55,1,3
56,3,11
57,2,0
58,1,4
59,0,1
60,2,0
61,2,0
62,2,0
63,2,0
64,2,0
65,2,8
66,1,5
67,0,0
68,3,0
69,0,2
70,3,0
71,0,0
71,0,0
72,0,0
72,0,0
73,1,0
74,3,10
75,1,5
76,3,0
77,3,9
78,0,0
79,1,0
79,1,3
81,1,3
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
# MCSL edge , request
0,0
1,0
2,1
3,2
4,5
5,2
6,0
7,8
8,0
9,0
10,6
11,7
12,0
13,0
14,10
15,0
16,10
17,0
18,0
19,11
20,5
21,5
22,5
23,11
24,0
25,11
26,10
27,9
28,0
29,9
30,0
31,11
32,0
33,11
34,0
35,9
36,9
37,10
38,10
39,7
40,0
41,6
42,7
43,7
44,7
45,8
46,0
47,5
48,2
49,9
50,0
51,3
52,0
53,7
54,0
55,5
56,0
57,3
58,5
59,3
60,4
61,5
62,3
63,1
64,0
65,0
66,0
67,0
68,10
69,10
70,2
71,0
72,1
73,7
74,0
75,0
76,5
77,4
78,0
79,3
80,0
81,11
82,1
83,11
84,0
85,1
86,4
87,0
88,0
89,0
90,0
91,0
92,0
93,3
94,5
95,8
96,5
97,6
98,0
99,6
100,0
101,0
102,0
103,0
104,0
105,2
106,0
107,0
108,10
109,2
110,0
111,5
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,9
120,0
121,6
122,3
123,0
124,3
125,0
126,0
127,3
128,0
129,0
130,0
