# num-edges , num-vertices ,VariableBandWidth2Ary3Fly
64,28
# edge num,from,to,edge price 
0,0,20,1.41421
1,20,0,1.41421
2,1,20,2.23607
3,20,1,2.23607
4,2,21,3.16228
5,21,2,3.16228
6,3,21,4.12311
7,21,3,4.12311
8,4,22,2.23607
9,22,4,2.23607
10,5,22,2.82843
11,22,5,2.82843
12,6,23,3.60555
13,23,6,3.60555
14,7,23,4.47214
15,23,7,4.47214
16,20,24,1
17,24,20,1
18,20,26,1
19,26,20,1
20,21,25,1
21,25,21,1
22,21,27,1
23,27,21,1
24,22,26,1
25,26,22,1
26,22,24,1
27,24,22,1
28,23,27,1
29,27,23,1
30,23,25,1
31,25,23,1
32,24,16,1
33,16,24,1
34,24,17,1
35,17,24,1
36,25,17,1
37,17,25,1
38,25,16,1
39,16,25,1
40,26,18,1
41,18,26,1
42,26,19,1
43,19,26,1
44,27,19,1
45,19,27,1
46,27,18,1
47,18,27,1
48,8,16,3.16228
49,16,8,3.16228
50,9,16,3.60555
51,16,9,3.60555
52,10,17,4.24264
53,17,10,4.24264
54,11,17,5
55,17,11,5
56,12,18,4.12311
57,18,12,4.12311
58,13,18,4.47214
59,18,13,4.47214
60,14,19,5
61,19,14,5
62,15,19,5.65685
63,19,15,5.65685
