# time slot,request num,vertex1,vertex2,edge num,flow in slot,in port,out port
0,0,0,20,0,10.000000,-1,0
6,0,0,20,0,10.000000,-1,0
4,0,0,20,0,10.000000,-1,0
2,0,0,20,0,10.000000,-1,0
0,0,0,20,0,8.000000,-1,0
7,0,0,20,0,10.000000,-1,0
5,0,0,20,0,10.000000,-1,0
3,0,0,20,0,6.000000,-1,0
1,14,0,20,0,9.000000,-1,0
5,14,0,20,0,8.000000,-1,0
1,14,0,20,0,9.000000,-1,0
6,14,0,20,0,8.000000,-1,0
2,14,0,20,0,8.000000,-1,0
7,14,0,20,0,8.000000,-1,0
3,14,0,20,0,9.000000,-1,0
3,14,0,20,0,3.000000,-1,0
4,14,0,20,0,4.000000,-1,0
3,17,20,0,1,9.000000,-1,0
7,17,20,0,1,11.000000,-1,0
4,17,20,0,1,8.000000,-1,0
0,17,20,0,1,11.000000,-1,0
4,17,20,0,1,3.000000,-1,0
1,17,20,0,1,8.000000,-1,0
5,17,20,0,1,9.000000,-1,0
1,17,20,0,1,3.000000,-1,0
0,15,1,20,2,8.000000,-1,0
4,15,1,20,2,8.000000,-1,0
1,15,1,20,2,8.000000,-1,0
5,15,1,20,2,8.000000,-1,0
2,15,1,20,2,8.000000,-1,0
6,15,1,20,2,8.000000,-1,0
3,15,1,20,2,8.000000,-1,0
7,15,1,20,2,2.000000,-1,0
5,2,20,1,3,6.000000,-1,1
3,2,20,1,3,6.000000,-1,1
1,2,20,1,3,6.000000,-1,1
7,2,20,1,3,6.000000,-1,1
5,2,20,1,3,6.000000,-1,1
3,2,20,1,3,6.000000,-1,1
1,2,20,1,3,5.000000,-1,1
3,10,20,1,3,5.000000,-1,1
7,10,20,1,3,6.000000,-1,1
4,10,20,1,3,6.000000,-1,1
0,10,20,1,3,6.000000,-1,1
5,10,20,1,3,5.000000,-1,1
1,10,20,1,3,6.000000,-1,1
6,10,20,1,3,5.000000,-1,1
4,20,20,1,3,2.000000,-1,1
0,20,20,1,3,2.000000,-1,1
6,20,20,1,3,6.000000,-1,1
2,20,20,1,3,6.000000,-1,1
6,20,20,1,3,6.000000,-1,1
2,20,20,1,3,1.000000,-1,1
7,20,20,1,3,1.000000,-1,1
7,20,20,1,3,4.000000,-1,1
0,20,20,1,3,1.000000,-1,1
0,20,20,1,3,3.000000,-1,1
2,20,20,1,3,1.000000,-1,1
2,26,20,1,3,2.000000,-1,1
0,26,20,1,3,2.000000,-1,1
0,26,20,1,3,1.000000,-1,1
2,26,20,1,3,2.000000,-1,1
2,26,20,1,3,1.000000,-1,1
0,1,2,21,4,6.000000,-1,0
4,1,2,21,4,6.000000,-1,0
1,1,2,21,4,6.000000,-1,0
5,1,2,21,4,6.000000,-1,0
2,1,2,21,4,6.000000,-1,0
6,1,2,21,4,6.000000,-1,0
3,1,2,21,4,5.000000,-1,0
3,8,21,2,5,11.000000,-1,0
7,8,21,2,5,11.000000,-1,0
3,8,21,2,5,2.000000,-1,0
7,8,21,2,5,4.000000,-1,0
4,8,21,2,5,11.000000,-1,0
0,8,21,2,5,11.000000,-1,0
4,8,21,2,5,5.000000,-1,0
0,8,21,2,5,4.000000,-1,0
5,8,21,2,5,11.000000,-1,0
1,8,21,2,5,7.000000,-1,0
1,18,21,2,5,11.000000,-1,0
3,18,21,2,5,11.000000,-1,0
5,18,21,2,5,11.000000,-1,0
7,18,21,2,5,11.000000,-1,0
1,18,21,2,5,7.000000,-1,0
3,18,21,2,5,7.000000,-1,0
5,18,21,2,5,7.000000,-1,0
7,18,21,2,5,7.000000,-1,0
2,18,21,2,5,10.000000,-1,0
6,21,21,2,5,5.000000,-1,0
2,21,21,2,5,6.000000,-1,0
6,21,21,2,5,6.000000,-1,0
2,21,21,2,5,6.000000,-1,0
6,21,21,2,5,6.000000,-1,0
2,21,21,2,5,4.000000,-1,0
6,21,21,2,5,4.000000,-1,0
1,21,21,2,5,4.000000,-1,0
5,27,21,2,5,2.000000,-1,0
1,27,21,2,5,7.000000,-1,0
6,27,21,2,5,11.000000,-1,0
2,27,21,2,5,10.000000,-1,0
6,27,21,2,5,4.000000,-1,0
3,27,21,2,5,5.000000,-1,0
7,27,21,2,5,3.000000,-1,0
0,27,21,2,5,7.000000,-1,0
4,27,21,2,5,8.000000,-1,0
4,27,21,2,5,1.000000,-1,0
0,18,3,21,6,11.000000,-1,0
2,18,3,21,6,11.000000,-1,0
4,18,3,21,6,11.000000,-1,0
6,18,3,21,6,11.000000,-1,0
0,18,3,21,6,7.000000,-1,0
2,18,3,21,6,7.000000,-1,0
4,18,3,21,6,7.000000,-1,0
6,18,3,21,6,7.000000,-1,0
1,18,3,21,6,10.000000,-1,0
1,22,3,21,6,8.000000,-1,0
5,22,3,21,6,8.000000,-1,0
3,22,3,21,6,8.000000,-1,0
7,22,3,21,6,8.000000,-1,0
3,22,3,21,6,8.000000,-1,0
3,22,3,21,6,2.000000,-1,0
5,22,3,21,6,8.000000,-1,0
5,22,3,21,6,2.000000,-1,0
7,22,3,21,6,6.000000,-1,0
5,0,21,3,7,10.000000,-1,1
3,0,21,3,7,10.000000,-1,1
1,0,21,3,7,10.000000,-1,1
7,0,21,3,7,10.000000,-1,1
6,0,21,3,7,8.000000,-1,1
4,0,21,3,7,10.000000,-1,1
2,0,21,3,7,10.000000,-1,1
0,0,21,3,7,6.000000,-1,1
3,11,21,3,7,6.000000,-1,1
7,11,21,3,7,6.000000,-1,1
4,11,21,3,7,5.000000,-1,1
0,11,21,3,7,6.000000,-1,1
5,11,21,3,7,6.000000,-1,1
1,11,21,3,7,6.000000,-1,1
5,11,21,3,7,4.000000,-1,1
4,29,21,3,7,9.000000,-1,1
3,29,21,3,7,8.000000,-1,1
7,29,21,3,7,3.000000,-1,1
5,29,21,3,7,4.000000,-1,1
6,29,21,3,7,9.000000,-1,1
6,29,21,3,7,1.000000,-1,1
6,29,21,3,7,2.000000,-1,1
0,29,21,3,7,10.000000,-1,1
0,29,21,3,7,1.000000,-1,1
0,29,21,3,7,1.000000,-1,1
0,16,4,22,8,2.000000,-1,0
2,16,4,22,8,2.000000,-1,0
4,16,4,22,8,2.000000,-1,0
6,16,4,22,8,2.000000,-1,0
0,16,4,22,8,1.000000,-1,0
0,23,4,22,8,8.000000,-1,0
4,23,4,22,8,9.000000,-1,0
1,23,4,22,8,10.000000,-1,0
5,23,4,22,8,10.000000,-1,0
1,23,4,22,8,1.000000,-1,0
