# num-edges , num-vertices ,VariableBandWidth2Ary3FlyTree
48,20
# edge num,from,to,edge price 
0,0,8,1.41421
1,8,0,1.41421
2,1,8,2.23607
3,8,1,2.23607
4,2,9,2.23607
5,9,2,2.23607
6,3,9,2.82843
7,9,3,2.82843
8,4,10,3.16228
9,10,4,3.16228
10,5,10,3.60555
11,10,5,3.60555
12,6,11,4.12311
13,11,6,4.12311
14,7,11,4.47214
15,11,7,4.47214
16,8,12,1
17,12,8,1
18,8,14,1
19,14,8,1
20,9,13,1
21,13,9,1
22,9,15,1
23,15,9,1
24,10,14,1
25,14,10,1
26,10,12,1
27,12,10,1
28,11,15,1
29,15,11,1
30,11,13,1
31,13,11,1
32,12,16,1
33,16,12,1
34,12,17,1
35,17,12,1
36,13,17,1
37,17,13,1
38,13,16,1
39,16,13,1
40,14,18,1
41,18,14,1
42,14,19,1
43,19,14,1
44,15,19,1
45,19,15,1
46,15,18,1
47,18,15,1
