# time slot,request num,vertex1,vertex2,edge num,flow in slot,in port,out port
0,0,0,8,0,10.000000,-1,0
6,0,0,8,0,10.000000,-1,0
4,0,0,8,0,10.000000,-1,0
2,0,0,8,0,10.000000,-1,0
0,0,0,8,0,8.000000,-1,0
6,0,0,8,0,8.000000,-1,0
4,0,0,8,0,8.000000,-1,0
2,0,0,8,0,8.000000,-1,0
1,0,0,8,0,2.000000,-1,0
1,14,0,8,0,9.000000,-1,0
5,14,0,8,0,9.000000,-1,0
1,14,0,8,0,7.000000,-1,0
7,14,0,8,0,9.000000,-1,0
3,14,0,8,0,9.000000,-1,0
7,14,0,8,0,9.000000,-1,0
5,14,0,8,0,9.000000,-1,0
3,14,0,8,0,5.000000,-1,0
3,17,8,0,1,3.000000,-1,0
7,17,8,0,1,9.000000,-1,0
4,17,8,0,1,8.000000,-1,0
0,17,8,0,1,10.000000,-1,0
4,17,8,0,1,2.000000,-1,0
2,17,8,0,1,8.000000,-1,0
6,17,8,0,1,10.000000,-1,0
2,17,8,0,1,3.000000,-1,0
0,15,1,8,2,8.000000,-1,0
4,15,1,8,2,8.000000,-1,0
1,15,1,8,2,8.000000,-1,0
6,15,1,8,2,8.000000,-1,0
2,15,1,8,2,8.000000,-1,0
7,15,1,8,2,8.000000,-1,0
5,15,1,8,2,8.000000,-1,0
3,15,1,8,2,2.000000,-1,0
5,2,8,1,3,6.000000,-1,1
3,2,8,1,3,6.000000,-1,1
1,2,8,1,3,6.000000,-1,1
7,2,8,1,3,6.000000,-1,1
5,2,8,1,3,6.000000,-1,1
3,2,8,1,3,6.000000,-1,1
1,2,8,1,3,5.000000,-1,1
1,10,8,1,3,6.000000,-1,1
3,10,8,1,3,5.000000,-1,1
5,10,8,1,3,5.000000,-1,1
7,10,8,1,3,6.000000,-1,1
2,10,8,1,3,4.000000,-1,1
4,10,8,1,3,6.000000,-1,1
6,10,8,1,3,6.000000,-1,1
0,10,8,1,3,1.000000,-1,1
2,20,8,1,3,6.000000,-1,1
4,20,8,1,3,6.000000,-1,1
6,20,8,1,3,6.000000,-1,1
0,20,8,1,3,6.000000,-1,1
2,20,8,1,3,6.000000,-1,1
4,20,8,1,3,1.000000,-1,1
6,20,8,1,3,1.000000,-1,1
0,20,8,1,3,1.000000,-1,1
2,20,8,1,3,1.000000,-1,1
6,20,8,1,3,4.000000,-1,1
4,20,8,1,3,1.000000,-1,1
7,26,8,1,3,1.000000,-1,1
7,26,8,1,3,2.000000,-1,1
7,26,8,1,3,2.000000,-1,1
0,26,8,1,3,2.000000,-1,1
0,26,8,1,3,1.000000,-1,1
0,1,2,9,4,6.000000,-1,0
4,1,2,9,4,6.000000,-1,0
1,1,2,9,4,6.000000,-1,0
5,1,2,9,4,6.000000,-1,0
2,1,2,9,4,6.000000,-1,0
6,1,2,9,4,6.000000,-1,0
