# num-edges , num-vertices ,VariableBandWidthBenes_4_2
96,36
# edge num,from,to,edge price 
0,24,26,1
1,26,24,1
2,24,27,1
3,27,24,1
4,25,26,1
5,26,25,1
6,25,27,1
7,27,25,1
8,28,26,1
9,26,28,1
10,28,27,1
11,27,28,1
12,29,26,1
13,26,29,1
14,29,27,1
15,27,29,1
16,30,32,1
17,32,30,1
18,30,33,1
19,33,30,1
20,31,32,1
21,32,31,1
22,31,33,1
23,33,31,1
24,34,32,1
25,32,34,1
26,34,33,1
27,33,34,1
28,35,32,1
29,32,35,1
30,35,33,1
31,33,35,1
32,20,24,1
33,24,20,1
34,20,30,1
35,30,20,1
36,21,24,1
37,24,21,1
38,21,30,1
39,30,21,1
40,22,25,1
41,25,22,1
42,22,31,1
43,31,22,1
44,23,25,1
45,25,23,1
46,23,31,1
47,31,23,1
48,16,28,1
49,28,16,1
50,16,34,1
51,34,16,1
52,17,28,1
53,28,17,1
54,17,34,1
55,34,17,1
56,18,29,1
57,29,18,1
58,18,35,1
59,35,18,1
60,19,29,1
61,29,19,1
62,19,35,1
63,35,19,1
64,0,20,1.41421
65,20,0,1.41421
66,1,16,2.23607
67,16,1,2.23607
68,2,20,3.16228
69,20,2,3.16228
70,3,16,4.12311
71,16,3,4.12311
72,4,21,2.23607
73,21,4,2.23607
74,5,17,2.82843
75,17,5,2.82843
76,6,21,3.60555
77,21,6,3.60555
78,7,17,4.47214
79,17,7,4.47214
80,8,22,3.16228
81,22,8,3.16228
82,9,18,3.60555
83,18,9,3.60555
84,10,22,4.24264
85,22,10,4.24264
86,11,18,5
87,18,11,5
88,12,23,4.12311
89,23,12,4.12311
90,13,19,4.47214
91,19,13,4.47214
92,14,23,5
93,23,14,5
94,15,19,5.65685
95,19,15,5.65685
