# time slot,request num,vertex1,vertex2,edge num,flow in slot,in port,out port
2,0,24,26,0,10.000000,-1,2
0,0,24,26,0,10.000000,-1,2
6,0,24,26,0,10.000000,-1,2
4,0,24,26,0,10.000000,-1,2
2,0,24,26,0,5.000000,-1,2
0,0,24,26,0,5.000000,-1,2
6,0,24,26,0,5.000000,-1,2
4,0,24,26,0,5.000000,-1,2
3,0,24,26,0,2.000000,-1,2
3,1,24,26,0,6.000000,-1,2
1,1,24,26,0,6.000000,-1,2
7,1,24,26,0,6.000000,-1,2
5,1,24,26,0,6.000000,-1,2
3,1,24,26,0,6.000000,-1,2
5,1,24,26,0,6.000000,-1,2
7,1,24,26,0,5.000000,-1,2
2,2,24,26,0,6.000000,-1,2
0,2,24,26,0,6.000000,-1,2
6,2,24,26,0,6.000000,-1,2
4,2,24,26,0,6.000000,-1,2
2,2,24,26,0,6.000000,-1,2
0,2,24,26,0,6.000000,-1,2
6,2,24,26,0,5.000000,-1,2
2,11,24,26,0,6.000000,-1,2
0,11,24,26,0,6.000000,-1,2
6,11,24,26,0,6.000000,-1,2
4,11,24,26,0,6.000000,-1,2
3,11,24,26,0,6.000000,-1,2
1,11,24,26,0,6.000000,-1,2
7,11,24,26,0,5.000000,-1,2
2,23,24,26,0,1.000000,-1,2
0,23,24,26,0,1.000000,-1,2
6,23,24,26,0,2.000000,-1,2
4,23,24,26,0,7.000000,-1,2
3,23,24,26,0,10.000000,-1,2
5,23,24,26,0,10.000000,-1,2
5,23,24,26,0,1.000000,-1,2
7,23,24,26,0,10.000000,-1,2
7,23,24,26,0,1.000000,-1,2
1,23,24,26,0,7.000000,-1,2
3,8,26,24,1,11.000000,-1,0
1,8,26,24,1,11.000000,-1,0
7,8,26,24,1,11.000000,-1,0
5,8,26,24,1,11.000000,-1,0
3,8,26,24,1,5.000000,-1,0
1,8,26,24,1,5.000000,-1,0
7,8,26,24,1,5.000000,-1,0
5,8,26,24,1,5.000000,-1,0
4,8,26,24,1,11.000000,-1,0
2,8,26,24,1,7.000000,-1,0
3,17,26,24,1,11.000000,-1,0
1,17,26,24,1,11.000000,-1,0
7,17,26,24,1,11.000000,-1,0
5,17,26,24,1,11.000000,-1,0
3,17,26,24,1,8.000000,-1,0
2,17,26,24,1,11.000000,-1,0
0,17,26,24,1,11.000000,-1,0
6,17,26,24,1,8.000000,-1,0
3,18,26,24,1,11.000000,-1,0
1,18,26,24,1,11.000000,-1,0
7,18,26,24,1,11.000000,-1,0
5,18,26,24,1,11.000000,-1,0
4,18,26,24,1,6.000000,-1,0
2,18,26,24,1,11.000000,-1,0
0,18,26,24,1,11.000000,-1,0
6,18,26,24,1,9.000000,-1,0
4,21,26,24,1,4.000000,-1,0
2,21,26,24,1,6.000000,-1,0
0,21,26,24,1,6.000000,-1,0
6,21,26,24,1,6.000000,-1,0
6,21,26,24,1,6.000000,-1,0
6,21,26,24,1,4.000000,-1,0
0,21,26,24,1,6.000000,-1,0
0,21,26,24,1,2.000000,-1,0
4,27,26,24,1,11.000000,-1,0
2,27,26,24,1,9.000000,-1,0
0,27,26,24,1,9.000000,-1,0
6,27,26,24,1,11.000000,-1,0
4,27,26,24,1,7.000000,-1,0
5,27,26,24,1,8.000000,-1,0
6,27,26,24,1,2.000000,-1,0
7,27,26,24,1,8.000000,-1,0
1,27,26,24,1,7.000000,-1,0
2,10,25,26,4,6.000000,-1,2
0,10,25,26,4,6.000000,-1,2
6,10,25,26,4,6.000000,-1,2
4,10,25,26,4,6.000000,-1,2
3,10,25,26,4,6.000000,-1,2
1,10,25,26,4,6.000000,-1,2
7,10,25,26,4,5.000000,-1,2
2,13,25,26,4,9.000000,-1,2
0,13,25,26,4,10.000000,-1,2
6,13,25,26,4,10.000000,-1,2
4,13,25,26,4,10.000000,-1,2
3,13,25,26,4,10.000000,-1,2
1,13,25,26,4,10.000000,-1,2
7,13,25,26,4,10.000000,-1,2
5,13,25,26,4,5.000000,-1,2
2,20,25,26,4,4.000000,-1,2
1,20,25,26,4,5.000000,-1,2
7,20,25,26,4,6.000000,-1,2
5,20,25,26,4,6.000000,-1,2
3,20,25,26,4,5.000000,-1,2
2,20,25,26,4,1.000000,-1,2
4,20,25,26,4,1.000000,-1,2
4,20,25,26,4,4.000000,-1,2
5,20,25,26,4,1.000000,-1,2
6,20,25,26,4,5.000000,-1,2
3,27,25,26,4,11.000000,-1,2
1,27,25,26,4,9.000000,-1,2
7,27,25,26,4,9.000000,-1,2
5,27,25,26,4,11.000000,-1,2
3,27,25,26,4,7.000000,-1,2
4,27,25,26,4,9.000000,-1,2
5,27,25,26,4,9.000000,-1,2
6,27,25,26,4,9.000000,-1,2
0,27,25,26,4,7.000000,-1,2
4,29,25,26,4,9.000000,-1,2
5,29,25,26,4,1.000000,-1,2
5,29,25,26,4,6.000000,-1,2
6,29,25,26,4,2.000000,-1,2
7,29,25,26,4,9.000000,-1,2
0,29,25,26,4,8.000000,-1,2
0,29,25,26,4,8.000000,-1,2
1,29,25,26,4,9.000000,-1,2
2,29,25,26,4,4.000000,-1,2
2,29,25,26,4,4.000000,-1,2
4,1,26,25,5,6.000000,-1,1
2,1,26,25,5,6.000000,-1,1
0,1,26,25,5,6.000000,-1,1
6,1,26,25,5,6.000000,-1,1
4,1,26,25,5,6.000000,-1,1
6,1,26,25,5,6.000000,-1,1
0,1,26,25,5,5.000000,-1,1
4,12,26,25,5,8.000000,-1,1
2,12,26,25,5,8.000000,-1,1
0,12,26,25,5,8.000000,-1,1
6,12,26,25,5,8.000000,-1,1
4,12,26,25,5,8.000000,-1,1
5,12,26,25,5,8.000000,-1,1
6,12,26,25,5,6.000000,-1,1
7,12,26,25,5,4.000000,-1,1
3,19,26,25,5,9.000000,-1,1
1,19,26,25,5,9.000000,-1,1
7,19,26,25,5,9.000000,-1,1
5,19,26,25,5,9.000000,-1,1
4,19,26,25,5,3.000000,-1,1
2,19,26,25,5,10.000000,-1,1
0,19,26,25,5,10.000000,-1,1
