30
# Request number,Source,Demand,#Dest,Destination
0,0,   9.000,1,3
1,2,   5.000,1,12
2,6,   5.000,1,1
3,7,   7.000,1,9
4,8,   9.000,1,6
5,10,   8.000,1,12
6,11,   7.000,1,4
7,14,   1.000,1,7
8,15,  10.000,1,2
9,10,   9.000,1,5
10,12,   5.000,1,1
11,6,   5.000,1,3
12,7,   7.000,1,14
13,8,   9.000,1,13
14,0,   8.000,1,4
15,1,   7.000,1,15
16,4,   1.000,1,5
17,5,  10.000,1,0
18,3,  10.000,1,2
19,13,   9.000,1,10
20,14,   5.000,1,1
21,15,   5.000,1,2
22,3,   7.000,1,13
23,4,   9.000,1,14
24,5,   8.000,1,15
25,6,   7.000,1,11
26,7,   1.000,1,1
27,8,  10.000,1,2
28,9,  10.000,1,13
29,10,   9.000,1,3
