# num-edges , num-vertices ,VariableBandWidthClos_1_2_4_3
48,25
# edge num,from,to,edge price 
0,18,22,1
1,22,18,1
2,19,22,1
3,22,19,1
4,20,22,1
5,22,20,1
6,21,22,1
7,22,21,1
8,23,22,1
9,22,23,1
10,24,22,1
11,22,24,1
12,16,22,1
13,22,16,1
14,17,22,1
15,22,17,1
16,0,18,1.41421
17,18,0,1.41421
18,1,23,2.23607
19,23,1,2.23607
20,2,18,3.16228
21,18,2,3.16228
22,3,23,4.12311
23,23,3,4.12311
24,4,19,2.23607
25,19,4,2.23607
26,5,24,2.82843
27,24,5,2.82843
28,6,19,3.60555
29,19,6,3.60555
30,7,24,4.47214
31,24,7,4.47214
32,8,20,3.16228
33,20,8,3.16228
34,9,16,3.60555
35,16,9,3.60555
36,10,20,4.24264
37,20,10,4.24264
38,11,16,5
39,16,11,5
40,12,21,4.12311
41,21,12,4.12311
42,13,17,4.47214
43,17,13,4.47214
44,14,21,5
45,21,14,5
46,15,17,5.65685
47,17,15,5.65685
