# time slot,request num,vertex1,vertex2,edge num,flow in slot,in port,out port
1,0,18,22,0,10.000000,-1,2
5,0,18,22,0,10.000000,-1,2
1,0,18,22,0,8.000000,-1,2
5,0,18,22,0,8.000000,-1,2
2,0,18,22,0,10.000000,-1,2
6,0,18,22,0,10.000000,-1,2
2,0,18,22,0,8.000000,-1,2
6,0,18,22,0,8.000000,-1,2
3,0,18,22,0,2.000000,-1,2
1,1,18,22,0,5.000000,-1,2
5,1,18,22,0,5.000000,-1,2
2,1,18,22,0,5.000000,-1,2
6,1,18,22,0,5.000000,-1,2
3,1,18,22,0,6.000000,-1,2
7,1,18,22,0,6.000000,-1,2
4,1,18,22,0,5.000000,-1,2
3,14,18,22,0,9.000000,-1,2
7,14,18,22,0,9.000000,-1,2
3,14,18,22,0,6.000000,-1,2
0,14,18,22,0,9.000000,-1,2
4,14,18,22,0,9.000000,-1,2
0,14,18,22,0,9.000000,-1,2
4,14,18,22,0,9.000000,-1,2
7,14,18,22,0,5.000000,-1,2
2,8,22,18,1,11.000000,-1,2
6,8,22,18,1,11.000000,-1,2
2,8,22,18,1,5.000000,-1,2
6,8,22,18,1,5.000000,-1,2
3,8,22,18,1,11.000000,-1,2
7,8,22,18,1,11.000000,-1,2
3,8,22,18,1,5.000000,-1,2
7,8,22,18,1,5.000000,-1,2
4,8,22,18,1,11.000000,-1,2
0,8,22,18,1,7.000000,-1,2
2,17,22,18,1,11.000000,-1,2
6,17,22,18,1,11.000000,-1,2
2,17,22,18,1,7.000000,-1,2
7,17,22,18,1,11.000000,-1,2
3,17,22,18,1,11.000000,-1,2
7,17,22,18,1,7.000000,-1,2
4,17,22,18,1,11.000000,-1,2
0,17,22,18,1,11.000000,-1,2
2,18,22,18,1,11.000000,-1,2
6,18,22,18,1,11.000000,-1,2
2,18,22,18,1,1.000000,-1,2
6,18,22,18,1,6.000000,-1,2
3,18,22,18,1,11.000000,-1,2
7,18,22,18,1,11.000000,-1,2
3,18,22,18,1,6.000000,-1,2
7,18,22,18,1,1.000000,-1,2
4,18,22,18,1,10.000000,-1,2
4,21,22,18,1,4.000000,-1,2
0,21,22,18,1,6.000000,-1,2
5,21,22,18,1,6.000000,-1,2
1,21,22,18,1,6.000000,-1,2
5,21,22,18,1,6.000000,-1,2
1,21,22,18,1,6.000000,-1,2
5,21,22,18,1,3.000000,-1,2
1,21,22,18,1,2.000000,-1,2
4,27,22,18,1,9.000000,-1,2
0,27,22,18,1,11.000000,-1,2
5,27,22,18,1,11.000000,-1,2
1,27,22,18,1,11.000000,-1,2
5,27,22,18,1,11.000000,-1,2
1,27,22,18,1,11.000000,-1,2
5,27,22,18,1,7.000000,-1,2
6,27,22,18,1,2.000000,-1,2
0,27,22,18,1,1.000000,-1,2
1,27,22,18,1,1.000000,-1,2
1,2,19,22,2,6.000000,-1,2
5,2,19,22,2,6.000000,-1,2
1,2,19,22,2,6.000000,-1,2
5,2,19,22,2,6.000000,-1,2
1,2,19,22,2,6.000000,-1,2
5,2,19,22,2,6.000000,-1,2
2,2,19,22,2,5.000000,-1,2
2,11,19,22,2,6.000000,-1,2
6,11,19,22,2,6.000000,-1,2
2,11,19,22,2,6.000000,-1,2
7,11,19,22,2,6.000000,-1,2
3,11,19,22,2,6.000000,-1,2
7,11,19,22,2,6.000000,-1,2
3,11,19,22,2,5.000000,-1,2
1,16,19,22,2,2.000000,-1,2
7,16,19,22,2,2.000000,-1,2
4,16,19,22,2,2.000000,-1,2
0,16,19,22,2,2.000000,-1,2
4,16,19,22,2,1.000000,-1,2
1,23,19,22,2,8.000000,-1,2
5,23,19,22,2,10.000000,-1,2
2,23,19,22,2,10.000000,-1,2
6,23,19,22,2,10.000000,-1,2
2,23,19,22,2,1.000000,-1,2
7,23,19,22,2,9.000000,-1,2
3,23,19,22,2,10.000000,-1,2
0,23,19,22,2,9.000000,-1,2
4,23,19,22,2,6.000000,-1,2
3,25,19,22,2,1.000000,-1,2
7,25,19,22,2,5.000000,-1,2
3,25,19,22,2,6.000000,-1,2
0,25,19,22,2,8.000000,-1,2
4,25,19,22,2,8.000000,-1,2
0,25,19,22,2,8.000000,-1,2
6,25,19,22,2,8.000000,-1,2
