92
# Request number,Source,Demand,#Dest,Destination
0,0,12800.000,1,1
1,0,12800.000,1,2
2,0,12800.000,1,3
3,0,12800.000,1,4
4,0,12800.000,1,5
5,0,12800.000,1,6
6,0,12800.000,1,7
7,0,12800.000,1,8
8,0,12800.000,1,9
9,0,12800.000,1,10
10,0,12800.000,1,11
11,0,12800.000,1,12
12,0,12800.000,1,13
13,0,12800.000,1,14
14,0,12800.000,1,15
15,0,12800.000,1,16
16,0,12800.000,1,17
17,0,12800.000,1,18
18,0,12800.000,1,19
19,0,12800.000,1,20
20,0,12800.000,1,21
21,0,12800.000,1,22
22,0,12800.000,1,23
23,0,12800.000,1,24
24,0,12800.000,1,25
25,0,12800.000,1,26
26,0,12800.000,1,27
27,0,12800.000,1,28
28,0,12800.000,1,29
29,0,12800.000,1,30
30,0,12800.000,1,31
31,1,   0.000,1,0
32,1,12800.000,1,2
33,2,   0.000,1,0
34,2,12800.000,1,3
35,3,   0.000,1,0
36,3,12800.000,1,4
37,4,   0.000,1,0
38,4,12800.000,1,5
39,5,   0.000,1,0
40,5,12800.000,1,6
41,6,   0.000,1,0
42,6,12800.000,1,7
43,7,   0.000,1,0
44,7,12800.000,1,8
45,8,   0.000,1,0
46,8,12800.000,1,9
47,9,   0.000,1,0
48,9,12800.000,1,10
49,10,   0.000,1,0
50,10,12800.000,1,11
51,11,   0.000,1,0
52,11,12800.000,1,12
53,12,   0.000,1,0
54,12,12800.000,1,13
55,13,   0.000,1,0
56,13,12800.000,1,14
57,14,   0.000,1,0
58,14,12800.000,1,15
59,15,   0.000,1,0
60,15,12800.000,1,16
61,16,   0.000,1,0
62,16,12800.000,1,17
63,17,   0.000,1,0
64,17,12800.000,1,18
65,18,   0.000,1,0
66,18,12800.000,1,19
67,19,   0.000,1,0
68,19,12800.000,1,20
69,20,   0.000,1,0
70,20,12800.000,1,21
71,21,   0.000,1,0
72,21,12800.000,1,22
73,22,   0.000,1,0
74,22,12800.000,1,23
75,23,   0.000,1,0
76,23,12800.000,1,24
77,24,   0.000,1,0
78,24,12800.000,1,25
79,25,   0.000,1,0
80,25,12800.000,1,26
81,26,   0.000,1,0
82,26,12800.000,1,27
83,27,   0.000,1,0
84,27,12800.000,1,28
85,28,   0.000,1,0
86,28,12800.000,1,29
87,29,   0.000,1,0
88,29,12240.000,1,30
89,30,   0.000,1,0
90,30,11872.000,1,31
91,31,   0.000,1,0
