# num-edges , num-vertices ,VariableBandWidthFatTree_2_3
162,54
# edge num,from,to,edge price 
0,0,38,1.41421
1,1,38,2.23607
2,2,38,3.16228
3,38,0,1.41421
4,38,1,2.23607
5,38,2,3.16228
6,3,36,4.12311
7,4,36,5.09902
8,5,36,2.23607
9,36,3,4.12311
10,36,4,5.09902
11,36,5,2.23607
12,6,39,2.82843
13,7,39,3.60555
14,8,39,4.47214
15,39,6,2.82843
16,39,7,3.60555
17,39,8,4.47214
18,31,38,1
19,38,31,1
20,31,36,1
21,36,31,1
22,31,39,1
23,39,31,1
24,32,38,1
25,38,32,1
26,32,36,1
27,36,32,1
28,32,39,1
29,39,32,1
30,34,38,1
31,38,34,1
32,34,36,1
33,36,34,1
34,34,39,1
35,39,34,1
36,9,30,5.38516
37,10,30,3.16228
38,11,30,3.60555
39,30,9,5.38516
40,30,10,3.16228
41,30,11,3.60555
42,12,35,4.24264
43,13,35,5
44,14,35,5.83095
45,35,12,4.24264
46,35,13,5
47,35,14,5.83095
48,15,40,4.12311
49,16,40,4.47214
50,17,40,5
51,40,15,4.12311
52,40,16,4.47214
53,40,17,5
54,27,30,1
55,30,27,1
56,27,35,1
57,35,27,1
58,27,40,1
59,40,27,1
60,28,30,1
61,30,28,1
62,28,35,1
63,35,28,1
64,28,40,1
65,40,28,1
66,29,30,1
67,30,29,1
68,29,35,1
69,35,29,1
70,29,40,1
71,40,29,1
72,18,33,5.65685
73,19,33,6.40312
74,20,33,5.09902
75,33,18,5.65685
76,33,19,6.40312
77,33,20,5.09902
78,21,37,5.38516
79,22,37,5.83095
80,23,37,6.40312
81,37,21,5.38516
82,37,22,5.83095
83,37,23,6.40312
84,24,41,7.07107
85,25,41,6.08276
86,26,41,6.32456
87,41,24,7.07107
88,41,25,6.08276
89,41,26,6.32456
90,42,33,1
91,33,42,1
92,42,37,1
93,37,42,1
94,42,41,1
95,41,42,1
96,43,33,1
97,33,43,1
98,43,37,1
99,37,43,1
100,43,41,1
101,41,43,1
102,44,33,1
103,33,44,1
104,44,37,1
105,37,44,1
106,44,41,1
107,41,44,1
108,45,31,1
109,31,45,1
110,45,27,1
111,27,45,1
112,45,42,1
113,42,45,1
114,46,31,1
115,31,46,1
116,46,27,1
117,27,46,1
118,46,42,1
119,42,46,1
120,47,31,1
121,31,47,1
122,47,27,1
123,27,47,1
124,47,42,1
125,42,47,1
126,48,32,1
127,32,48,1
128,48,28,1
129,28,48,1
130,48,43,1
131,43,48,1
132,49,32,1
133,32,49,1
134,49,28,1
135,28,49,1
136,49,43,1
137,43,49,1
138,50,32,1
139,32,50,1
140,50,28,1
141,28,50,1
142,50,43,1
143,43,50,1
144,51,34,1
145,34,51,1
146,51,29,1
147,29,51,1
148,51,44,1
149,44,51,1
150,52,34,1
151,34,52,1
152,52,29,1
153,29,52,1
154,52,44,1
155,44,52,1
156,53,34,1
157,34,53,1
158,53,29,1
159,29,53,1
160,53,44,1
161,44,53,1
