# time slot,request num,vertex1,vertex2,edge num,flow in slot,in port,out port
0,0,0,38,0,10.000000,-1,0
4,0,0,38,0,10.000000,-1,0
0,0,0,38,0,8.000000,-1,0
4,0,0,38,0,8.000000,-1,0
1,0,0,38,0,10.000000,-1,0
5,0,0,38,0,10.000000,-1,0
1,0,0,38,0,8.000000,-1,0
5,0,0,38,0,8.000000,-1,0
2,0,0,38,0,2.000000,-1,0
2,14,0,38,0,9.000000,-1,0
6,14,0,38,0,9.000000,-1,0
2,14,0,38,0,7.000000,-1,0
7,14,0,38,0,9.000000,-1,0
3,14,0,38,0,9.000000,-1,0
7,14,0,38,0,9.000000,-1,0
6,14,0,38,0,9.000000,-1,0
3,14,0,38,0,5.000000,-1,0
0,15,1,38,1,8.000000,-1,0
6,15,1,38,1,8.000000,-1,0
4,15,1,38,1,8.000000,-1,0
2,15,1,38,1,8.000000,-1,0
1,15,1,38,1,8.000000,-1,0
7,15,1,38,1,8.000000,-1,0
5,15,1,38,1,8.000000,-1,0
3,15,1,38,1,2.000000,-1,0
0,1,2,38,2,6.000000,-1,0
6,1,2,38,2,6.000000,-1,0
4,1,2,38,2,6.000000,-1,0
2,1,2,38,2,6.000000,-1,0
1,1,2,38,2,6.000000,-1,0
7,1,2,38,2,6.000000,-1,0
5,1,2,38,2,5.000000,-1,0
3,17,38,0,3,11.000000,-1,0
7,17,38,0,3,11.000000,-1,0
4,17,38,0,3,8.000000,-1,0
0,17,38,0,3,11.000000,-1,0
4,17,38,0,3,3.000000,-1,0
1,17,38,0,3,8.000000,-1,0
5,17,38,0,3,11.000000,-1,0
1,17,38,0,3,3.000000,-1,0
3,2,38,1,4,6.000000,-1,1
7,2,38,1,4,6.000000,-1,1
3,2,38,1,4,6.000000,-1,1
7,2,38,1,4,6.000000,-1,1
3,2,38,1,4,5.000000,-1,1
7,2,38,1,4,5.000000,-1,1
4,2,38,1,4,5.000000,-1,1
5,10,38,1,4,6.000000,-1,1
4,10,38,1,4,6.000000,-1,1
2,10,38,1,4,6.000000,-1,1
0,10,38,1,4,6.000000,-1,1
