91
# Request number,Source,Demand,#Dest,Destination
0,0,8.00000000,1,1
1,0,0.00719424,1,2
2,0,0.00620476,1,3
3,0,0.00623053,1,4
4,0,0.09467456,1,5
5,0,8.00000000,1,6
6,0,0.00734394,1,7
7,0,0.00750000,1,8
8,0,0.00740741,1,9
9,0,0.00724419,1,10
10,0,0.00770713,1,11
11,0,0.00758054,1,12
12,0,0.00750000,1,13
13,0,0.00768246,1,14
14,0,0.00750234,1,15
15,1,0.00577617,1,0
16,1,0.00120355,1,2
17,1,16.00000000,1,3
18,1,0.08695652,1,6
19,2,8.00000000,1,0
20,2,8.00000000,1,1
21,2,8.00000000,1,3
22,2,8.00000000,1,4
23,2,8.00000000,1,5
24,2,8.00000000,1,6
25,2,8.00000000,1,7
26,3,0.00068341,1,0
27,3,8.00000000,1,1
28,3,0.00122831,1,2
29,3,0.01221374,1,4
30,3,0.08695652,1,6
31,4,0.00067125,1,0
32,4,0.00085161,1,1
33,4,0.00120992,1,2
34,4,0.00109981,1,3
35,4,8.00000000,1,6
36,5,0.00067125,1,0
37,5,0.00083717,1,1
38,5,0.00117543,1,2
39,5,0.00104289,1,3
40,5,0.00336276,1,4
41,5,0.08695652,1,6
42,6,0.00067125,1,0
43,6,0.00086346,1,1
44,6,0.00117028,1,2
45,6,0.00115574,1,3
46,7,0.00067125,1,0
47,7,0.00085016,1,1
48,7,0.00111157,1,2
49,7,0.00107109,1,3
50,7,0.11428571,1,6
51,8,0.00067125,1,0
52,8,0.00085242,1,1
53,8,0.00113314,1,2
54,8,0.00105890,1,3
55,8,0.08695652,1,6
56,9,0.00067125,1,0
57,9,0.00085443,1,1
58,9,0.00110972,1,2
59,9,0.00108123,1,3
60,9,0.08695652,1,6
61,10,0.00067125,1,0
62,10,0.00083831,1,1
63,10,0.00112249,1,2
64,10,0.00106425,1,3
65,10,0.08695652,1,6
66,11,0.00067125,1,0
67,11,0.00084069,1,1
68,11,0.00112186,1,2
69,11,0.00111841,1,3
70,11,0.08695652,1,6
71,12,0.00067125,1,0
72,12,0.00084665,1,1
73,12,0.00109170,1,2
74,12,0.00109305,1,3
75,12,0.08695652,1,6
76,13,0.00067125,1,0
77,13,0.00084397,1,1
78,13,0.00113960,1,2
79,13,0.00105070,1,3
80,13,0.08695652,1,6
81,14,0.00067125,1,0
82,14,0.00083857,1,1
83,14,0.00112470,1,2
84,14,0.00110604,1,3
85,14,0.08695652,1,6
86,15,0.00067125,1,0
87,15,0.00083612,1,1
88,15,0.00112470,1,2
89,15,0.00106795,1,3
90,15,0.08695652,1,6
