51
# Request number,Source,Demand,#Dest,Destination
0,0,0.99902439,1,1
1,0,0.99836868,1,2
2,0,0.33628319,1,3
3,1,0.04136346,1,0
4,1,0.01314614,1,3
5,1,0.04396831,1,5
6,2,0.99881094,1,0
7,2,0.99902439,1,3
8,2,0.99899699,1,4
9,2,0.01712622,1,5
10,3,0.01726842,1,0
11,3,0.99902439,1,1
12,3,0.99902439,1,2
13,3,0.99893276,1,6
14,3,0.02103045,1,7
15,3,0.99881657,1,8
16,3,0.99875776,1,9
17,3,0.05187943,1,10
18,3,0.00375481,1,11
19,3,0.99837925,1,12
20,4,0.99902057,1,1
21,4,0.99860530,1,2
22,4,0.99902439,1,5
23,4,0.99898888,1,6
24,4,0.99898888,1,7
25,4,0.99898477,1,8
26,4,0.03172696,1,9
27,5,0.01028454,1,0
28,5,0.00602862,1,1
29,5,0.99841017,1,11
30,6,0.00300479,1,0
31,6,0.01434927,1,2
32,6,0.04792495,1,5
33,6,0.99902439,1,7
34,6,0.80000000,1,11
35,7,0.00150942,1,0
36,7,0.99898888,1,2
37,7,0.03867027,1,4
38,7,0.99902439,1,5
39,8,0.09869626,1,3
40,8,0.99902439,1,4
41,8,0.99869281,1,12
42,8,0.99902439,1,13
43,9,0.01432279,1,2
44,9,0.99885452,1,10
45,10,0.00977646,1,0
46,11,0.99897646,1,4
47,11,0.99902439,1,9
48,11,0.04232542,1,10
49,12,0.99869961,1,11
50,13,0.27602477,1,11
