# num-edges , num-vertices ,mcsl_rtp
768,256
# edge num,from,to,edge price 
0,0,180,1.41421
1,1,180,2.23607
2,180,0,1.41421
3,180,1,2.23607
4,2,181,3.16228
5,3,181,4.12311
6,181,2,3.16228
7,181,3,4.12311
8,68,180,1
9,180,68,1
10,68,181,1
11,181,68,1
12,76,180,1
13,180,76,1
14,76,181,1
15,181,76,1
16,4,188,5.09902
17,5,188,6.08276
18,188,4,5.09902
19,188,5,6.08276
20,6,77,7.07107
21,7,77,8.06226
22,77,6,7.07107
23,77,7,8.06226
24,80,188,1
25,188,80,1
26,80,77,1
27,77,80,1
28,112,188,1
29,188,112,1
30,112,77,1
31,77,112,1
32,160,68,1
33,68,160,1
34,160,80,1
35,80,160,1
36,161,68,1
37,68,161,1
38,161,80,1
39,80,161,1
40,164,76,1
41,76,164,1
42,164,112,1
43,112,164,1
44,168,76,1
45,76,168,1
46,168,112,1
47,112,168,1
48,8,184,2.23607
49,9,184,2.82843
50,184,8,2.23607
51,184,9,2.82843
52,10,69,3.60555
53,11,69,4.47214
54,69,10,3.60555
55,69,11,4.47214
56,71,184,1
57,184,71,1
58,71,69,1
59,69,71,1
60,72,184,1
61,184,72,1
62,72,69,1
63,69,72,1
64,12,79,5.38516
65,13,79,6.32456
66,79,12,5.38516
67,79,13,6.32456
68,14,113,7.28011
69,15,113,8.24621
70,113,14,7.28011
71,113,15,8.24621
72,115,79,1
73,79,115,1
74,115,113,1
75,113,115,1
76,116,79,1
77,79,116,1
78,116,113,1
79,113,116,1
80,120,71,1
81,71,120,1
82,120,115,1
83,115,120,1
84,121,71,1
85,71,121,1
86,121,115,1
87,115,121,1
88,123,72,1
89,72,123,1
90,123,116,1
91,116,123,1
92,124,72,1
93,72,124,1
94,124,116,1
95,116,124,1
96,132,160,1
97,160,132,1
98,132,120,1
99,120,132,1
100,133,160,1
101,160,133,1
102,133,120,1
103,120,133,1
104,135,161,1
105,161,135,1
106,135,121,1
107,121,135,1
108,136,161,1
109,161,136,1
110,136,121,1
111,121,136,1
112,140,164,1
113,164,140,1
114,140,123,1
115,123,140,1
116,141,164,1
117,164,141,1
118,141,123,1
119,123,141,1
120,143,168,1
121,168,143,1
122,143,124,1
123,124,143,1
124,144,168,1
125,168,144,1
126,144,124,1
127,124,144,1
128,16,163,3.16228
129,17,163,3.60555
130,163,16,3.16228
131,163,17,3.60555
132,18,169,4.24264
133,19,169,5
134,169,18,4.24264
135,169,19,5
136,171,163,1
137,163,171,1
138,171,169,1
139,169,171,1
140,172,163,1
141,163,172,1
142,172,169,1
143,169,172,1
144,20,183,5.83095
145,21,183,6.7082
146,183,20,5.83095
147,183,21,6.7082
148,22,189,7.61577
149,23,189,8.544
150,189,22,7.61577
151,189,23,8.544
152,191,183,1
153,183,191,1
154,191,189,1
155,189,191,1
156,192,183,1
157,183,192,1
158,192,189,1
159,189,192,1
160,64,171,1
161,171,64,1
162,64,191,1
163,191,64,1
164,65,171,1
165,171,65,1
166,65,191,1
167,191,65,1
168,66,172,1
169,172,66,1
170,66,192,1
171,192,66,1
172,67,172,1
173,172,67,1
174,67,192,1
175,192,67,1
176,24,70,4.12311
177,25,70,4.47214
178,70,24,4.12311
179,70,25,4.47214
180,26,73,5
181,27,73,5.65685
182,73,26,5
183,73,27,5.65685
184,74,70,1
185,70,74,1
186,74,73,1
187,73,74,1
188,75,70,1
189,70,75,1
190,75,73,1
191,73,75,1
192,28,78,6.40312
193,29,78,7.2111
194,78,28,6.40312
195,78,29,7.2111
196,30,81,8.06226
197,31,81,8.94427
198,81,30,8.06226
199,81,31,8.94427
200,82,78,1
201,78,82,1
202,82,81,1
203,81,82,1
204,83,78,1
205,78,83,1
206,83,81,1
207,81,83,1
208,84,74,1
209,74,84,1
210,84,82,1
211,82,84,1
212,85,74,1
213,74,85,1
214,85,82,1
215,82,85,1
216,86,75,1
217,75,86,1
218,86,83,1
219,83,86,1
220,87,75,1
221,75,87,1
222,87,83,1
223,83,87,1
224,88,64,1
225,64,88,1
226,88,84,1
227,84,88,1
228,89,64,1
229,64,89,1
230,89,84,1
231,84,89,1
232,90,65,1
233,65,90,1
234,90,85,1
235,85,90,1
236,91,65,1
237,65,91,1
238,91,85,1
239,85,91,1
240,92,66,1
241,66,92,1
242,92,86,1
243,86,92,1
244,93,66,1
245,66,93,1
246,93,86,1
247,86,93,1
248,94,67,1
249,67,94,1
250,94,87,1
251,87,94,1
252,95,67,1
253,67,95,1
254,95,87,1
255,87,95,1
256,96,132,1
257,132,96,1
258,96,88,1
259,88,96,1
260,97,132,1
261,132,97,1
262,97,88,1
263,88,97,1
264,98,133,1
265,133,98,1
266,98,89,1
267,89,98,1
268,99,133,1
