51
# Request number,Source,Demand,#Dest,Destination
0,0,0.99902439,1,1
1,0,0.99893730,1,2
2,0,0.32730594,1,3
3,1,0.01976271,1,0
4,1,0.01806257,1,3
5,1,0.05972238,1,5
6,2,0.99885452,1,0
7,2,0.99897225,1,3
8,2,0.99902439,1,4
9,2,0.01416585,1,5
10,3,0.01914845,1,0
11,3,0.99895942,1,1
12,3,0.99897225,1,2
13,3,0.99902439,1,6
14,3,0.02134265,1,7
15,3,0.99863574,1,8
16,3,0.99889989,1,9
17,3,0.03360785,1,10
18,3,0.00275161,1,11
19,3,0.99888018,1,12
20,4,0.99891422,1,1
21,4,0.06010196,1,2
22,4,0.99902057,1,5
23,4,0.99896373,1,6
24,4,0.99889503,1,7
25,4,0.99896373,1,8
26,4,0.02493974,1,9
27,5,0.01277058,1,0
28,5,0.00621413,1,1
29,5,0.99867198,1,11
30,6,0.00274694,1,0
31,6,0.01809241,1,2
32,6,0.06667965,1,5
33,6,0.99893730,1,7
34,6,0.27444694,1,11
35,7,0.00150688,1,0
36,7,0.99902439,1,2
37,7,0.03418156,1,4
38,7,0.99902439,1,5
39,8,0.12145181,1,3
40,8,0.99900892,1,4
41,8,0.99888517,1,12
42,8,0.99902439,1,13
43,9,0.01410076,1,2
44,9,0.99893730,1,10
45,10,0.00863676,1,0
46,11,0.99902439,1,4
47,11,0.99888018,1,9
48,11,0.04784635,1,10
49,12,0.99861304,1,11
50,13,0.68539716,1,11
