# time slot,request num,vertex1,vertex2,edge num,flow in slot,in port,out port
0,0,0,180,0,2.000000,-1,0
2,0,0,180,0,2.000000,-1,0
4,0,0,180,0,2.000000,-1,0
6,0,0,180,0,2.000000,-1,0
0,1,0,180,0,1.000000,-1,0
4,1,0,180,0,1.000000,-1,0
1,1,0,180,0,3.000000,-1,0
5,1,0,180,0,2.000000,-1,0
6,1,0,180,0,1.000000,-1,0
2,2,0,180,0,1.000000,-1,0
7,2,0,180,0,1.000000,-1,0
3,2,0,180,0,1.000000,-1,0
0,3,1,180,1,1.000000,-1,0
1,4,1,180,1,1.000000,-1,0
2,5,1,180,1,1.000000,-1,0
1,3,180,0,2,1.000000,-1,0
3,6,180,0,2,2.000000,-1,0
7,6,180,0,2,2.000000,-1,0
4,6,180,0,2,1.000000,-1,0
0,6,180,0,2,2.000000,-1,0
4,10,180,0,2,1.000000,-1,0
6,27,180,0,2,1.000000,-1,0
1,30,180,0,2,1.000000,-1,0
2,35,180,0,2,1.000000,-1,0
2,45,180,0,2,1.000000,-1,0
1,0,180,1,3,2.000000,-1,1
3,0,180,1,3,2.000000,-1,1
5,0,180,1,3,2.000000,-1,1
7,0,180,1,3,2.000000,-1,1
4,11,180,1,3,2.000000,-1,1
0,11,180,1,3,1.000000,-1,1
5,11,180,1,3,2.000000,-1,1
1,11,180,1,3,2.000000,-1,1
6,20,180,1,3,2.000000,-1,1
4,20,180,1,3,1.000000,-1,1
2,20,180,1,3,2.000000,-1,1
0,20,180,1,3,1.000000,-1,1
6,28,180,1,3,1.000000,-1,1
0,6,2,181,4,4.000000,-1,0
4,6,2,181,4,2.000000,-1,0
5,6,2,181,4,2.000000,-1,0
1,7,2,181,4,4.000000,-1,0
3,7,2,181,4,2.000000,-1,0
5,7,2,181,4,2.000000,-1,0
2,8,2,181,4,4.000000,-1,0
3,8,2,181,4,2.000000,-1,0
4,8,2,181,4,2.000000,-1,0
6,9,2,181,4,1.000000,-1,0
0,10,3,181,5,1.000000,-1,0
0,11,3,181,5,2.000000,-1,0
5,11,3,181,5,2.000000,-1,0
1,11,3,181,5,2.000000,-1,0
6,11,3,181,5,2.000000,-1,0
0,12,3,181,5,2.000000,-1,0
2,12,3,181,5,2.000000,-1,0
4,12,3,181,5,2.000000,-1,0
6,12,3,181,5,2.000000,-1,0
0,13,3,181,5,2.000000,-1,0
6,13,3,181,5,2.000000,-1,0
4,13,3,181,5,2.000000,-1,0
2,13,3,181,5,2.000000,-1,0
1,14,3,181,5,1.000000,-1,0
1,15,3,181,5,4.000000,-1,0
2,15,3,181,5,2.000000,-1,0
3,15,3,181,5,2.000000,-1,0
2,16,3,181,5,1.000000,-1,0
4,16,3,181,5,2.000000,-1,0
5,16,3,181,5,4.000000,-1,0
6,16,3,181,5,1.000000,-1,0
3,17,3,181,5,1.000000,-1,0
3,18,3,181,5,1.000000,-1,0
3,19,3,181,5,2.000000,-1,0
7,19,3,181,5,6.000000,-1,0
3,1,181,2,6,1.000000,-1,0
7,1,181,2,6,1.000000,-1,0
4,1,181,2,6,2.000000,-1,0
0,1,181,2,6,2.000000,-1,0
5,1,181,2,6,1.000000,-1,0
1,1,181,2,6,1.000000,-1,0
1,12,181,2,6,2.000000,-1,0
3,12,181,2,6,2.000000,-1,0
5,12,181,2,6,2.000000,-1,0
7,12,181,2,6,2.000000,-1,0
5,21,181,2,6,1.000000,-1,0
6,31,181,2,6,1.000000,-1,0
7,36,181,2,6,1.000000,-1,0
0,36,181,2,6,1.000000,-1,0
2,36,181,2,6,2.000000,-1,0
3,36,181,2,6,1.000000,-1,0
1,43,181,2,6,1.000000,-1,0
5,2,181,3,7,1.000000,-1,1
2,2,181,3,7,1.000000,-1,1
6,2,181,3,7,1.000000,-1,1
6,4,181,3,7,1.000000,-1,1
2,7,181,3,7,1.000000,-1,1
4,7,181,3,7,2.000000,-1,1
7,7,181,3,7,2.000000,-1,1
3,7,181,3,7,2.000000,-1,1
1,39,181,3,7,1.000000,-1,1
1,1,180,68,9,1.000000,-1,2
5,1,180,68,9,1.000000,-1,2
2,1,180,68,9,2.000000,-1,2
6,1,180,68,9,2.000000,-1,2
3,1,180,68,9,1.000000,-1,2
7,1,180,68,9,1.000000,-1,2
3,2,180,68,9,1.000000,-1,2
0,2,180,68,9,1.000000,-1,2
4,2,180,68,9,1.000000,-1,2
4,4,180,68,9,1.000000,-1,2
5,5,180,68,9,1.000000,-1,2
2,1,68,181,10,1.000000,-1,3
6,1,68,181,10,1.000000,-1,3
3,1,68,181,10,2.000000,-1,3
7,1,68,181,10,2.000000,-1,3
4,1,68,181,10,1.000000,-1,3
0,1,68,181,10,1.000000,-1,3
4,2,68,181,10,1.000000,-1,3
1,2,68,181,10,1.000000,-1,3
5,2,68,181,10,1.000000,-1,3
5,4,68,181,10,1.000000,-1,3
4,21,68,181,10,1.000000,-1,3
5,31,68,181,10,1.000000,-1,3
6,36,68,181,10,2.000000,-1,3
7,36,68,181,10,1.000000,-1,3
1,36,68,181,10,2.000000,-1,3
2,36,68,181,10,1.000000,-1,3
0,39,68,181,10,1.000000,-1,3
0,43,68,181,10,1.000000,-1,3
3,8,181,68,11,4.000000,-1,2
4,8,181,68,11,2.000000,-1,2
5,8,181,68,11,2.000000,-1,2
7,9,181,68,11,1.000000,-1,2
1,13,181,68,11,2.000000,-1,2
7,13,181,68,11,2.000000,-1,2
5,13,181,68,11,2.000000,-1,2
3,13,181,68,11,2.000000,-1,2
2,14,181,68,11,1.000000,-1,2
2,15,181,68,11,4.000000,-1,2
4,15,181,68,11,4.000000,-1,2
5,16,181,68,11,2.000000,-1,2
6,16,181,68,11,4.000000,-1,2
7,16,181,68,11,1.000000,-1,2
6,17,181,68,11,1.000000,-1,2
6,18,181,68,11,1.000000,-1,2
7,19,181,68,11,2.000000,-1,2
0,19,181,68,11,6.000000,-1,2
2,6,76,180,12,3.000000,-1,2
6,6,76,180,12,2.000000,-1,2
7,6,76,180,12,2.000000,-1,2
3,10,76,180,12,1.000000,-1,2
3,11,76,180,12,2.000000,-1,2
7,11,76,180,12,1.000000,-1,2
4,11,76,180,12,2.000000,-1,2
0,11,76,180,12,2.000000,-1,2
4,20,76,180,12,2.000000,-1,2
3,20,76,180,12,1.000000,-1,2
1,20,76,180,12,2.000000,-1,2
7,20,76,180,12,1.000000,-1,2
5,27,76,180,12,1.000000,-1,2
5,28,76,180,12,1.000000,-1,2
6,30,76,180,12,1.000000,-1,2
6,35,76,180,12,1.000000,-1,2
0,45,76,180,12,1.000000,-1,2
1,6,181,76,15,3.000000,-1,3
5,6,181,76,15,2.000000,-1,3
6,6,181,76,15,2.000000,-1,3
2,10,181,76,15,1.000000,-1,3
2,11,181,76,15,2.000000,-1,3
6,11,181,76,15,1.000000,-1,3
3,11,181,76,15,2.000000,-1,3
7,11,181,76,15,2.000000,-1,3
0,20,4,188,16,2.000000,-1,0
7,20,4,188,16,2.000000,-1,0
5,20,4,188,16,2.000000,-1,0
3,20,4,188,16,2.000000,-1,0
0,21,4,188,16,1.000000,-1,0
0,22,4,188,16,2.000000,-1,0
2,22,4,188,16,2.000000,-1,0
4,22,4,188,16,2.000000,-1,0
6,22,4,188,16,2.000000,-1,0
0,23,4,188,16,1.000000,-1,0
4,23,4,188,16,2.000000,-1,0
1,23,4,188,16,3.000000,-1,0
5,23,4,188,16,2.000000,-1,0
1,24,4,188,16,3.000000,-1,0
5,24,4,188,16,2.000000,-1,0
6,24,4,188,16,2.000000,-1,0
2,24,4,188,16,1.000000,-1,0
2,25,4,188,16,3.000000,-1,0
3,25,4,188,16,2.000000,-1,0
4,25,4,188,16,2.000000,-1,0
6,25,4,188,16,1.000000,-1,0
3,26,4,188,16,1.000000,-1,0
0,27,5,188,17,1.000000,-1,0
0,28,5,188,17,1.000000,-1,0
1,29,5,188,17,2.000000,-1,0
4,29,5,188,17,2.000000,-1,0
5,29,5,188,17,2.000000,-1,0
6,29,5,188,17,2.000000,-1,0
7,8,188,4,18,4.000000,-1,0
0,8,188,4,18,2.000000,-1,0
1,8,188,4,18,2.000000,-1,0
5,37,188,4,18,1.000000,-1,0
2,40,188,4,18,4.000000,-1,0
3,40,188,4,18,3.000000,-1,0
3,46,188,4,18,1.000000,-1,0
4,46,188,4,18,3.000000,-1,0
5,46,188,4,18,2.000000,-1,0
1,5,188,5,19,1.000000,-1,1
3,9,188,5,19,1.000000,-1,1
1,22,188,5,19,2.000000,-1,1
3,22,188,5,19,2.000000,-1,1
5,22,188,5,19,2.000000,-1,1
7,22,188,5,19,2.000000,-1,1
4,32,188,5,19,1.000000,-1,1
7,38,188,5,19,1.000000,-1,1
0,38,188,5,19,3.000000,-1,1
2,38,188,5,19,3.000000,-1,1
0,30,6,77,20,1.000000,-1,0
0,31,6,77,20,1.000000,-1,0
1,32,6,77,20,1.000000,-1,0
1,33,6,77,20,1.000000,-1,0
3,33,6,77,20,2.000000,-1,0
5,33,6,77,20,2.000000,-1,0
7,33,6,77,20,2.000000,-1,0
2,33,6,77,20,1.000000,-1,0
2,34,6,77,20,1.000000,-1,0
4,34,6,77,20,2.000000,-1,0
0,35,7,77,21,1.000000,-1,0
0,36,7,77,21,2.000000,-1,0
1,36,7,77,21,3.000000,-1,0
3,36,7,77,21,3.000000,-1,0
2,37,7,77,21,1.000000,-1,0
2,38,7,77,21,2.000000,-1,0
4,38,7,77,21,3.000000,-1,0
5,38,7,77,21,3.000000,-1,0
5,13,77,6,22,2.000000,-1,0
3,13,77,6,22,2.000000,-1,0
1,13,77,6,22,2.000000,-1,0
7,13,77,6,22,1.000000,-1,0
3,23,77,6,22,1.000000,-1,0
7,23,77,6,22,2.000000,-1,0
4,23,77,6,22,3.000000,-1,0
0,23,77,6,22,2.000000,-1,0
6,14,77,7,23,1.000000,-1,1
4,24,77,7,23,1.000000,-1,1
0,24,77,7,23,2.000000,-1,1
5,24,77,7,23,2.000000,-1,1
1,24,77,7,23,2.000000,-1,1
2,33,77,7,23,1.000000,-1,1
4,33,77,7,23,2.000000,-1,1
6,33,77,7,23,2.000000,-1,1
0,33,77,7,23,1.000000,-1,1
3,33,77,7,23,1.000000,-1,1
0,5,80,188,24,1.000000,-1,3
6,8,80,188,24,4.000000,-1,3
7,8,80,188,24,2.000000,-1,3
0,8,80,188,24,2.000000,-1,3
2,9,80,188,24,1.000000,-1,3
3,32,80,188,24,1.000000,-1,3
4,37,80,188,24,1.000000,-1,3
6,38,80,188,24,1.000000,-1,3
7,38,80,188,24,3.000000,-1,3
0,38,80,188,24,2.000000,-1,3
1,38,80,188,24,1.000000,-1,3
1,40,80,188,24,4.000000,-1,3
2,40,80,188,24,3.000000,-1,3
2,46,80,188,24,1.000000,-1,3
3,46,80,188,24,3.000000,-1,3
4,46,80,188,24,2.000000,-1,3
1,21,188,80,25,1.000000,-1,2
1,23,188,80,25,1.000000,-1,2
5,23,188,80,25,2.000000,-1,2
2,23,188,80,25,3.000000,-1,2
6,23,188,80,25,2.000000,-1,2
2,24,188,80,25,2.000000,-1,2
6,24,188,80,25,2.000000,-1,2
3,24,188,80,25,2.000000,-1,2
7,24,188,80,25,2.000000,-1,2
3,25,188,80,25,3.000000,-1,2
4,25,188,80,25,2.000000,-1,2
5,25,188,80,25,2.000000,-1,2
7,25,188,80,25,1.000000,-1,2
4,26,188,80,25,1.000000,-1,2
4,29,188,80,25,2.000000,-1,2
5,29,188,80,25,1.000000,-1,2
6,29,188,80,25,1.000000,-1,2
7,29,188,80,25,2.000000,-1,2
4,13,80,77,26,2.000000,-1,0
2,13,80,77,26,2.000000,-1,0
0,13,80,77,26,2.000000,-1,0
6,13,80,77,26,1.000000,-1,0
5,14,80,77,26,1.000000,-1,0
2,23,80,77,26,1.000000,-1,0
6,23,80,77,26,2.000000,-1,0
3,23,80,77,26,3.000000,-1,0
7,23,80,77,26,2.000000,-1,0
3,24,80,77,26,1.000000,-1,0
7,24,80,77,26,2.000000,-1,0
4,24,80,77,26,2.000000,-1,0
0,24,80,77,26,2.000000,-1,0
1,31,77,80,27,1.000000,-1,2
2,32,77,80,27,1.000000,-1,2
3,34,77,80,27,1.000000,-1,2
5,34,77,80,27,2.000000,-1,2
1,36,77,80,27,2.000000,-1,2
2,36,77,80,27,2.000000,-1,2
3,36,77,80,27,1.000000,-1,2
4,36,77,80,27,3.000000,-1,2
3,37,77,80,27,1.000000,-1,2
5,38,77,80,27,1.000000,-1,2
6,38,77,80,27,3.000000,-1,2
7,38,77,80,27,3.000000,-1,2
1,20,188,112,29,2.000000,-1,3
0,20,188,112,29,2.000000,-1,3
6,20,188,112,29,2.000000,-1,3
4,20,188,112,29,2.000000,-1,3
2,27,188,112,29,1.000000,-1,3
2,28,188,112,29,1.000000,-1,3
1,30,77,112,31,1.000000,-1,3
2,35,77,112,31,1.000000,-1,3
3,21,160,68,32,1.000000,-1,0
3,31,160,68,32,1.000000,-1,0
4,36,160,68,32,2.000000,-1,0
5,36,160,68,32,2.000000,-1,0
0,36,160,68,32,2.000000,-1,0
1,36,160,68,32,1.000000,-1,0
6,39,160,68,32,1.000000,-1,0
6,43,160,68,32,1.000000,-1,0
6,5,68,160,33,1.000000,-1,0
4,8,68,160,33,4.000000,-1,0
5,8,68,160,33,2.000000,-1,0
6,8,68,160,33,2.000000,-1,0
0,9,68,160,33,1.000000,-1,0
2,13,68,160,33,2.000000,-1,0
0,13,68,160,33,2.000000,-1,0
6,13,68,160,33,2.000000,-1,0
4,13,68,160,33,2.000000,-1,0
3,14,68,160,33,1.000000,-1,0
3,15,68,160,33,4.000000,-1,0
5,15,68,160,33,4.000000,-1,0
6,16,68,160,33,1.000000,-1,0
7,16,68,160,33,5.000000,-1,0
0,16,68,160,33,1.000000,-1,0
7,17,68,160,33,1.000000,-1,0
0,18,68,160,33,1.000000,-1,0
0,19,68,160,33,1.000000,-1,0
1,19,68,160,33,6.000000,-1,0
7,5,160,80,34,1.000000,-1,1
5,8,160,80,34,4.000000,-1,1
6,8,160,80,34,2.000000,-1,1
7,8,160,80,34,2.000000,-1,1
1,9,160,80,34,1.000000,-1,1
3,13,160,80,34,2.000000,-1,1
1,13,160,80,34,2.000000,-1,1
7,13,160,80,34,2.000000,-1,1
5,13,160,80,34,1.000000,-1,1
4,14,160,80,34,1.000000,-1,1
6,40,160,80,34,2.000000,-1,1
0,40,160,80,34,3.000000,-1,1
1,40,160,80,34,2.000000,-1,1
6,46,160,80,34,1.000000,-1,1
2,46,160,80,34,3.000000,-1,1
3,46,160,80,34,2.000000,-1,1
