# vertex , MCSL core
0,0
1,1
3,2
4,3
8,4
9,5
11,6
12,7
20,8
21,9
23,10
24,11
28,12
29,13
31,14
32,15
48,16
49,17
51,18
52,19
56,20
57,21
59,22
60,23
68,24
69,25
71,26
72,27
76,28
77,29
79,30
80,31
112,32
113,33
115,34
116,35
120,36
121,37
123,38
124,39
132,40
133,41
135,42
136,43
140,44
141,45
143,46
144,47
160,48
161,49
163,50
164,51
168,52
169,53
171,54
172,55
180,56
181,57
183,58
184,59
188,60
189,61
191,62
192,63
256,64
257,65
259,66
260,67
264,68
265,69
267,70
268,71
276,72
277,73
279,74
280,75
284,76
285,77
287,78
288,79
304,80
305,81
307,82
308,83
312,84
313,85
315,86
316,87
324,88
325,89
327,90
328,91
332,92
333,93
335,94
336,95
368,96
369,97
371,98
372,99
376,100
377,101
379,102
380,103
388,104
389,105
391,106
392,107
396,108
397,109
399,110
400,111
416,112
417,113
419,114
420,115
424,116
425,117
427,118
428,119
436,120
437,121
439,122
440,123
444,124
445,125
447,126
448,127
576,128
577,129
579,130
580,131
584,132
585,133
587,134
588,135
596,136
597,137
599,138
600,139
604,140
605,141
607,142
608,143
624,144
625,145
627,146
628,147
632,148
633,149
635,150
636,151
644,152
645,153
647,154
648,155
652,156
653,157
655,158
656,159
688,160
689,161
691,162
692,163
696,164
697,165
699,166
700,167
708,168
709,169
711,170
712,171
716,172
717,173
719,174
720,175
736,176
737,177
739,178
740,179
744,180
745,181
747,182
748,183
756,184
757,185
759,186
760,187
764,188
765,189
767,190
768,191
832,192
833,193
835,194
836,195
840,196
841,197
843,198
844,199
852,200
853,201
855,202
856,203
860,204
861,205
863,206
864,207
880,208
881,209
883,210
884,211
888,212
889,213
891,214
892,215
900,216
901,217
903,218
904,219
908,220
909,221
911,222
912,223
944,224
945,225
947,226
948,227
952,228
953,229
955,230
956,231
964,232
965,233
967,234
968,235
972,236
973,237
975,238
976,239
992,240
993,241
995,242
996,243
1000,244
1001,245
1003,246
1004,247
1012,248
1013,249
1015,250
1016,251
1020,252
1021,253
1023,254
1024,255
