# time slot,request num,vertex1,vertex2,edge num,flow in slot,in port,out port
0,0,0,1,0,10.000000,-1,0
3,0,0,1,0,10.000000,-1,0
6,0,0,1,0,10.000000,-1,0
1,0,0,1,0,10.000000,-1,0
4,0,0,1,0,10.000000,-1,0
7,0,0,1,0,10.000000,-1,0
2,0,0,1,0,10.000000,-1,0
5,0,0,1,0,4.000000,-1,0
2,27,0,1,0,10.000000,-1,0
6,27,0,1,0,10.000000,-1,0
3,27,0,1,0,10.000000,-1,0
7,27,0,1,0,10.000000,-1,0
4,27,0,1,0,10.000000,-1,0
0,27,0,1,0,10.000000,-1,0
5,27,0,1,0,10.000000,-1,0
1,27,0,1,0,10.000000,-1,0
5,27,0,1,0,1.000000,-1,0
1,17,1,0,1,11.000000,-1,0
3,17,1,0,1,11.000000,-1,0
5,17,1,0,1,11.000000,-1,0
7,17,1,0,1,11.000000,-1,0
2,17,1,0,1,11.000000,-1,0
4,17,1,0,1,11.000000,-1,0
6,17,1,0,1,11.000000,-1,0
0,17,1,0,1,5.000000,-1,0
0,14,0,4,2,9.000000,-1,1
1,14,0,4,2,9.000000,-1,1
2,14,0,4,2,9.000000,-1,1
3,14,0,4,2,9.000000,-1,1
4,14,0,4,2,9.000000,-1,1
5,14,0,4,2,9.000000,-1,1
6,14,0,4,2,9.000000,-1,1
7,14,0,4,2,3.000000,-1,1
1,27,4,0,3,10.000000,-1,0
5,27,4,0,3,10.000000,-1,0
2,27,4,0,3,10.000000,-1,0
6,27,4,0,3,11.000000,-1,0
3,27,4,0,3,10.000000,-1,0
7,27,4,0,3,10.000000,-1,0
4,27,4,0,3,10.000000,-1,0
0,27,4,0,3,10.000000,-1,0
7,27,4,0,3,1.000000,-1,0
1,0,1,2,4,10.000000,-1,1
4,0,1,2,4,10.000000,-1,1
7,0,1,2,4,10.000000,-1,1
2,0,1,2,4,10.000000,-1,1
5,0,1,2,4,10.000000,-1,1
0,0,1,2,4,10.000000,-1,1
3,0,1,2,4,10.000000,-1,1
6,0,1,2,4,4.000000,-1,1
0,15,1,2,4,8.000000,-1,1
5,15,1,2,4,8.000000,-1,1
2,15,1,2,4,8.000000,-1,1
7,15,1,2,4,8.000000,-1,1
4,15,1,2,4,8.000000,-1,1
1,15,1,2,4,8.000000,-1,1
6,15,1,2,4,8.000000,-1,1
3,15,1,2,4,2.000000,-1,1
3,27,1,2,4,10.000000,-1,1
7,27,1,2,4,9.000000,-1,1
4,27,1,2,4,9.000000,-1,1
0,27,1,2,4,9.000000,-1,1
5,27,1,2,4,9.000000,-1,1
1,27,1,2,4,9.000000,-1,1
6,27,1,2,4,10.000000,-1,1
2,27,1,2,4,9.000000,-1,1
6,27,1,2,4,1.000000,-1,1
0,1,2,1,5,6.000000,-1,0
5,1,2,1,5,6.000000,-1,0
2,1,2,1,5,6.000000,-1,0
7,1,2,1,5,6.000000,-1,0
4,1,2,1,5,6.000000,-1,0
1,1,2,1,5,6.000000,-1,0
6,1,2,1,5,5.000000,-1,0
1,2,2,1,5,6.000000,-1,0
3,2,2,1,5,6.000000,-1,0
5,2,2,1,5,6.000000,-1,0
7,2,2,1,5,6.000000,-1,0
1,2,2,1,5,4.000000,-1,0
3,2,2,1,5,6.000000,-1,0
5,2,2,1,5,4.000000,-1,0
3,20,2,1,5,1.000000,-1,0
7,20,2,1,5,4.000000,-1,0
4,20,2,1,5,3.000000,-1,0
0,20,2,1,5,6.000000,-1,0
6,20,2,1,5,3.000000,-1,0
2,20,2,1,5,5.000000,-1,0
6,20,2,1,5,5.000000,-1,0
4,20,2,1,5,1.000000,-1,0
0,20,2,1,5,1.000000,-1,0
1,1,1,5,6,6.000000,-1,2
6,1,1,5,6,6.000000,-1,2
3,1,1,5,6,6.000000,-1,2
0,1,1,5,6,6.000000,-1,2
5,1,1,5,6,6.000000,-1,2
2,1,1,5,6,6.000000,-1,2
7,1,1,5,6,5.000000,-1,2
