# num-edges , num-vertices ,VariableBandWidthMesh_16_16
960,256
# edge num,from,to,edge price 
0,0,1,1
1,1,0,1
2,0,16,1
3,16,0,1
4,1,2,1
5,2,1,1
6,1,17,1
7,17,1,1
8,2,3,1
9,3,2,1
10,2,18,1
11,18,2,1
12,3,4,1
13,4,3,1
14,3,19,1
15,19,3,1
16,4,5,1
17,5,4,1
18,4,20,1
19,20,4,1
20,5,6,1
21,6,5,1
22,5,21,1
23,21,5,1
24,6,7,1
25,7,6,1
26,6,22,1
27,22,6,1
28,7,8,1
29,8,7,1
30,7,23,1
31,23,7,1
32,8,9,1
33,9,8,1
34,8,24,1
35,24,8,1
36,9,10,1
37,10,9,1
38,9,25,1
39,25,9,1
40,10,11,1
41,11,10,1
42,10,26,1
43,26,10,1
44,11,12,1
45,12,11,1
46,11,27,1
47,27,11,1
48,12,13,1
49,13,12,1
50,12,28,1
51,28,12,1
52,13,14,1
53,14,13,1
54,13,29,1
55,29,13,1
56,14,15,1
57,15,14,1
58,14,30,1
59,30,14,1
60,15,31,1
61,31,15,1
62,16,17,1
63,17,16,1
64,16,32,1
65,32,16,1
66,17,18,1
67,18,17,1
68,17,33,1
69,33,17,1
70,18,19,1
71,19,18,1
72,18,34,1
73,34,18,1
74,19,20,1
75,20,19,1
76,19,35,1
77,35,19,1
78,20,21,1
79,21,20,1
80,20,36,1
81,36,20,1
82,21,22,1
83,22,21,1
84,21,37,1
85,37,21,1
86,22,23,1
87,23,22,1
88,22,38,1
89,38,22,1
90,23,24,1
91,24,23,1
92,23,39,1
93,39,23,1
94,24,25,1
95,25,24,1
96,24,40,1
97,40,24,1
98,25,26,1
99,26,25,1
100,25,41,1
101,41,25,1
102,26,27,1
103,27,26,1
104,26,42,1
105,42,26,1
106,27,28,1
107,28,27,1
108,27,43,1
109,43,27,1
110,28,29,1
111,29,28,1
112,28,44,1
113,44,28,1
114,29,30,1
115,30,29,1
116,29,45,1
117,45,29,1
118,30,31,1
119,31,30,1
120,30,46,1
121,46,30,1
122,31,47,1
123,47,31,1
124,32,33,1
125,33,32,1
126,32,48,1
127,48,32,1
128,33,34,1
129,34,33,1
130,33,49,1
131,49,33,1
132,34,35,1
133,35,34,1
134,34,50,1
135,50,34,1
136,35,36,1
137,36,35,1
138,35,51,1
139,51,35,1
140,36,37,1
141,37,36,1
142,36,52,1
143,52,36,1
144,37,38,1
145,38,37,1
146,37,53,1
147,53,37,1
148,38,39,1
149,39,38,1
150,38,54,1
151,54,38,1
152,39,40,1
153,40,39,1
154,39,55,1
155,55,39,1
156,40,41,1
157,41,40,1
158,40,56,1
159,56,40,1
160,41,42,1
161,42,41,1
162,41,57,1
163,57,41,1
164,42,43,1
165,43,42,1
166,42,58,1
167,58,42,1
168,43,44,1
169,44,43,1
170,43,59,1
171,59,43,1
172,44,45,1
173,45,44,1
174,44,60,1
175,60,44,1
176,45,46,1
177,46,45,1
178,45,61,1
179,61,45,1
180,46,47,1
181,47,46,1
182,46,62,1
183,62,46,1
184,47,63,1
185,63,47,1
186,48,49,1
187,49,48,1
188,48,64,1
189,64,48,1
190,49,50,1
191,50,49,1
192,49,65,1
193,65,49,1
194,50,51,1
195,51,50,1
196,50,66,1
197,66,50,1
198,51,52,1
199,52,51,1
200,51,67,1
201,67,51,1
202,52,53,1
203,53,52,1
204,52,68,1
205,68,52,1
206,53,54,1
207,54,53,1
208,53,69,1
209,69,53,1
210,54,55,1
211,55,54,1
212,54,70,1
213,70,54,1
214,55,56,1
215,56,55,1
216,55,71,1
217,71,55,1
218,56,57,1
219,57,56,1
220,56,72,1
221,72,56,1
222,57,58,1
223,58,57,1
224,57,73,1
225,73,57,1
226,58,59,1
227,59,58,1
228,58,74,1
229,74,58,1
230,59,60,1
231,60,59,1
232,59,75,1
233,75,59,1
234,60,61,1
235,61,60,1
236,60,76,1
237,76,60,1
238,61,62,1
239,62,61,1
240,61,77,1
241,77,61,1
242,62,63,1
243,63,62,1
244,62,78,1
245,78,62,1
246,63,79,1
247,79,63,1
248,64,65,1
249,65,64,1
250,64,80,1
251,80,64,1
252,65,66,1
253,66,65,1
254,65,81,1
255,81,65,1
256,66,67,1
257,67,66,1
258,66,82,1
259,82,66,1
260,67,68,1
261,68,67,1
262,67,83,1
263,83,67,1
264,68,69,1
265,69,68,1
266,68,84,1
267,84,68,1
268,69,70,1
269,70,69,1
270,69,85,1
271,85,69,1
272,70,71,1
273,71,70,1
274,70,86,1
275,86,70,1
276,71,72,1
277,72,71,1
278,71,87,1
279,87,71,1
280,72,73,1
281,73,72,1
282,72,88,1
283,88,72,1
284,73,74,1
285,74,73,1
286,73,89,1
287,89,73,1
288,74,75,1
289,75,74,1
290,74,90,1
291,90,74,1
292,75,76,1
293,76,75,1
294,75,91,1
295,91,75,1
296,76,77,1
297,77,76,1
298,76,92,1
299,92,76,1
300,77,78,1
301,78,77,1
302,77,93,1
303,93,77,1
304,78,79,1
305,79,78,1
306,78,94,1
307,94,78,1
308,79,95,1
309,95,79,1
310,80,81,1
311,81,80,1
312,80,96,1
313,96,80,1
314,81,82,1
315,82,81,1
316,81,97,1
317,97,81,1
318,82,83,1
319,83,82,1
320,82,98,1
321,98,82,1
322,83,84,1
323,84,83,1
324,83,99,1
325,99,83,1
326,84,85,1
327,85,84,1
328,84,100,1
329,100,84,1
330,85,86,1
331,86,85,1
332,85,101,1
333,101,85,1
334,86,87,1
335,87,86,1
336,86,102,1
337,102,86,1
338,87,88,1
339,88,87,1
340,87,103,1
341,103,87,1
342,88,89,1
343,89,88,1
344,88,104,1
345,104,88,1
346,89,90,1
347,90,89,1
348,89,105,1
349,105,89,1
350,90,91,1
351,91,90,1
352,90,106,1
353,106,90,1
354,91,92,1
355,92,91,1
356,91,107,1
357,107,91,1
358,92,93,1
359,93,92,1
360,92,108,1
361,108,92,1
362,93,94,1
363,94,93,1
364,93,109,1
365,109,93,1
366,94,95,1
367,95,94,1
368,94,110,1
369,110,94,1
370,95,111,1
371,111,95,1
372,96,97,1
373,97,96,1
374,96,112,1
375,112,96,1
376,97,98,1
377,98,97,1
378,97,113,1
379,113,97,1
380,98,99,1
381,99,98,1
382,98,114,1
383,114,98,1
384,99,100,1
385,100,99,1
386,99,115,1
387,115,99,1
388,100,101,1
389,101,100,1
390,100,116,1
391,116,100,1
392,101,102,1
393,102,101,1
394,101,117,1
395,117,101,1
396,102,103,1
397,103,102,1
398,102,118,1
399,118,102,1
400,103,104,1
401,104,103,1
402,103,119,1
403,119,103,1
404,104,105,1
405,105,104,1
406,104,120,1
407,120,104,1
408,105,106,1
409,106,105,1
410,105,121,1
411,121,105,1
412,106,107,1
413,107,106,1
414,106,122,1
415,122,106,1
416,107,108,1
417,108,107,1
418,107,123,1
419,123,107,1
420,108,109,1
421,109,108,1
422,108,124,1
423,124,108,1
424,109,110,1
425,110,109,1
426,109,125,1
427,125,109,1
428,110,111,1
429,111,110,1
430,110,126,1
431,126,110,1
432,111,127,1
433,127,111,1
434,112,113,1
435,113,112,1
436,112,128,1
437,128,112,1
438,113,114,1
439,114,113,1
440,113,129,1
441,129,113,1
442,114,115,1
443,115,114,1
444,114,130,1
445,130,114,1
446,115,116,1
447,116,115,1
448,115,131,1
449,131,115,1
450,116,117,1
451,117,116,1
452,116,132,1
453,132,116,1
454,117,118,1
455,118,117,1
456,117,133,1
457,133,117,1
458,118,119,1
459,119,118,1
460,118,134,1
461,134,118,1
462,119,120,1
463,120,119,1
464,119,135,1
465,135,119,1
466,120,121,1
467,121,120,1
468,120,136,1
469,136,120,1
470,121,122,1
471,122,121,1
472,121,137,1
473,137,121,1
474,122,123,1
475,123,122,1
476,122,138,1
477,138,122,1
478,123,124,1
479,124,123,1
480,123,139,1
481,139,123,1
482,124,125,1
483,125,124,1
484,124,140,1
485,140,124,1
486,125,126,1
487,126,125,1
488,125,141,1
489,141,125,1
490,126,127,1
491,127,126,1
492,126,142,1
493,142,126,1
494,127,143,1
495,143,127,1
496,128,129,1
497,129,128,1
498,128,144,1
499,144,128,1
500,129,130,1
501,130,129,1
502,129,145,1
503,145,129,1
504,130,131,1
505,131,130,1
506,130,146,1
507,146,130,1
508,131,132,1
509,132,131,1
510,131,147,1
511,147,131,1
512,132,133,1
513,133,132,1
514,132,148,1
515,148,132,1
516,133,134,1
517,134,133,1
518,133,149,1
519,149,133,1
520,134,135,1
521,135,134,1
522,134,150,1
523,150,134,1
524,135,136,1
525,136,135,1
526,135,151,1
527,151,135,1
528,136,137,1
529,137,136,1
530,136,152,1
531,152,136,1
532,137,138,1
533,138,137,1
534,137,153,1
535,153,137,1
536,138,139,1
537,139,138,1
538,138,154,1
539,154,138,1
540,139,140,1
541,140,139,1
542,139,155,1
543,155,139,1
544,140,141,1
545,141,140,1
546,140,156,1
547,156,140,1
548,141,142,1
549,142,141,1
550,141,157,1
551,157,141,1
552,142,143,1
553,143,142,1
554,142,158,1
555,158,142,1
556,143,159,1
557,159,143,1
558,144,145,1
559,145,144,1
560,144,160,1
561,160,144,1
562,145,146,1
563,146,145,1
564,145,161,1
565,161,145,1
566,146,147,1
567,147,146,1
568,146,162,1
569,162,146,1
570,147,148,1
571,148,147,1
572,147,163,1
573,163,147,1
574,148,149,1
575,149,148,1
576,148,164,1
577,164,148,1
578,149,150,1
579,150,149,1
580,149,165,1
581,165,149,1
582,150,151,1
583,151,150,1
584,150,166,1
585,166,150,1
586,151,152,1
587,152,151,1
588,151,167,1
589,167,151,1
590,152,153,1
591,153,152,1
592,152,168,1
593,168,152,1
594,153,154,1
595,154,153,1
596,153,169,1
597,169,153,1
598,154,155,1
599,155,154,1
600,154,170,1
601,170,154,1
602,155,156,1
603,156,155,1
604,155,171,1
605,171,155,1
606,156,157,1
607,157,156,1
608,156,172,1
609,172,156,1
610,157,158,1
611,158,157,1
612,157,173,1
613,173,157,1
614,158,159,1
615,159,158,1
616,158,174,1
617,174,158,1
618,159,175,1
619,175,159,1
620,160,161,1
621,161,160,1
622,160,176,1
623,176,160,1
624,161,162,1
625,162,161,1
626,161,177,1
627,177,161,1
628,162,163,1
629,163,162,1
630,162,178,1
631,178,162,1
632,163,164,1
633,164,163,1
634,163,179,1
635,179,163,1
636,164,165,1
637,165,164,1
638,164,180,1
639,180,164,1
640,165,166,1
641,166,165,1
642,165,181,1
643,181,165,1
644,166,167,1
645,167,166,1
646,166,182,1
647,182,166,1
648,167,168,1
649,168,167,1
650,167,183,1
651,183,167,1
652,168,169,1
653,169,168,1
654,168,184,1
655,184,168,1
656,169,170,1
657,170,169,1
658,169,185,1
659,185,169,1
660,170,171,1
661,171,170,1
662,170,186,1
663,186,170,1
664,171,172,1
665,172,171,1
666,171,187,1
667,187,171,1
668,172,173,1
669,173,172,1
670,172,188,1
671,188,172,1
672,173,174,1
673,174,173,1
674,173,189,1
675,189,173,1
676,174,175,1
677,175,174,1
678,174,190,1
679,190,174,1
680,175,191,1
681,191,175,1
682,176,177,1
683,177,176,1
684,176,192,1
685,192,176,1
686,177,178,1
687,178,177,1
688,177,193,1
689,193,177,1
690,178,179,1
691,179,178,1
692,178,194,1
693,194,178,1
694,179,180,1
695,180,179,1
696,179,195,1
697,195,179,1
698,180,181,1
699,181,180,1
700,180,196,1
701,196,180,1
702,181,182,1
703,182,181,1
704,181,197,1
705,197,181,1
706,182,183,1
707,183,182,1
708,182,198,1
709,198,182,1
710,183,184,1
711,184,183,1
712,183,199,1
713,199,183,1
714,184,185,1
715,185,184,1
716,184,200,1
717,200,184,1
718,185,186,1
719,186,185,1
720,185,201,1
721,201,185,1
722,186,187,1
723,187,186,1
724,186,202,1
725,202,186,1
726,187,188,1
727,188,187,1
728,187,203,1
729,203,187,1
730,188,189,1
731,189,188,1
732,188,204,1
733,204,188,1
734,189,190,1
735,190,189,1
736,189,205,1
737,205,189,1
738,190,191,1
739,191,190,1
740,190,206,1
741,206,190,1
742,191,207,1
743,207,191,1
744,192,193,1
745,193,192,1
746,192,208,1
747,208,192,1
748,193,194,1
749,194,193,1
750,193,209,1
751,209,193,1
752,194,195,1
753,195,194,1
754,194,210,1
755,210,194,1
756,195,196,1
757,196,195,1
758,195,211,1
759,211,195,1
760,196,197,1
761,197,196,1
762,196,212,1
763,212,196,1
764,197,198,1
765,198,197,1
766,197,213,1
767,213,197,1
768,198,199,1
769,199,198,1
770,198,214,1
771,214,198,1
772,199,200,1
773,200,199,1
774,199,215,1
775,215,199,1
776,200,201,1
777,201,200,1
778,200,216,1
779,216,200,1
780,201,202,1
781,202,201,1
782,201,217,1
783,217,201,1
784,202,203,1
785,203,202,1
786,202,218,1
787,218,202,1
788,203,204,1
789,204,203,1
790,203,219,1
791,219,203,1
792,204,205,1
793,205,204,1
794,204,220,1
795,220,204,1
796,205,206,1
797,206,205,1
798,205,221,1
799,221,205,1
800,206,207,1
801,207,206,1
802,206,222,1
803,222,206,1
804,207,223,1
805,223,207,1
806,208,209,1
807,209,208,1
808,208,224,1
809,224,208,1
810,209,210,1
811,210,209,1
812,209,225,1
813,225,209,1
814,210,211,1
815,211,210,1
816,210,226,1
817,226,210,1
818,211,212,1
819,212,211,1
820,211,227,1
821,227,211,1
822,212,213,1
823,213,212,1
824,212,228,1
825,228,212,1
826,213,214,1
827,214,213,1
828,213,229,1
829,229,213,1
830,214,215,1
831,215,214,1
832,214,230,1
833,230,214,1
834,215,216,1
835,216,215,1
836,215,231,1
837,231,215,1
838,216,217,1
839,217,216,1
840,216,232,1
841,232,216,1
842,217,218,1
843,218,217,1
844,217,233,1
845,233,217,1
846,218,219,1
847,219,218,1
848,218,234,1
849,234,218,1
850,219,220,1
851,220,219,1
852,219,235,1
853,235,219,1
854,220,221,1
855,221,220,1
856,220,236,1
857,236,220,1
858,221,222,1
859,222,221,1
860,221,237,1
861,237,221,1
862,222,223,1
863,223,222,1
864,222,238,1
865,238,222,1
866,223,239,1
867,239,223,1
868,224,225,1
869,225,224,1
870,224,240,1
871,240,224,1
872,225,226,1
873,226,225,1
874,225,241,1
875,241,225,1
876,226,227,1
877,227,226,1
878,226,242,1
879,242,226,1
880,227,228,1
881,228,227,1
882,227,243,1
883,243,227,1
884,228,229,1
885,229,228,1
886,228,244,1
887,244,228,1
888,229,230,1
889,230,229,1
890,229,245,1
891,245,229,1
892,230,231,1
893,231,230,1
894,230,246,1
895,246,230,1
896,231,232,1
897,232,231,1
898,231,247,1
899,247,231,1
