3135
# Request number,Source,Demand,#Dest,Destination
0,0,9.00000000,1,35
1,0,7.00000000,1,132
2,0,5.00000000,1,108
3,0,1.00000000,1,174
4,0,7.00000000,1,144
5,0,5.00000000,1,241
6,0,6.00000000,1,187
7,0,3.00000000,1,235
8,0,9.00000000,1,166
9,0,7.00000000,1,60
10,0,8.00000000,1,12
11,0,6.00000000,1,153
12,0,8.00000000,1,94
13,0,6.00000000,1,28
14,0,2.00000000,1,183
15,1,10.00000000,1,179
16,1,2.00000000,1,77
17,1,9.00000000,1,67
18,1,5.00000000,1,139
19,1,7.00000000,1,31
20,1,6.00000000,1,90
21,1,0.00000000,1,9
22,1,0.00000000,1,37
23,1,4.00000000,1,93
24,1,1.00000000,1,203
25,1,10.00000000,1,150
26,1,0.00000000,1,69
27,1,6.00000000,1,19
28,1,8.00000000,1,137
29,1,10.00000000,1,28
30,1,5.00000000,1,174
31,2,9.00000000,1,154
32,2,3.00000000,1,238
33,3,1.00000000,1,54
34,3,8.00000000,1,18
35,4,2.00000000,1,246
36,4,6.00000000,1,125
37,4,5.00000000,1,220
38,4,5.00000000,1,79
39,4,1.00000000,1,242
40,4,5.00000000,1,64
41,4,5.00000000,1,208
42,4,4.00000000,1,196
43,5,4.00000000,1,50
44,5,0.00000000,1,161
45,5,3.00000000,1,246
46,5,8.00000000,1,145
47,5,7.00000000,1,225
48,5,2.00000000,1,31
49,5,8.00000000,1,176
50,5,7.00000000,1,153
51,5,1.00000000,1,185
52,5,2.00000000,1,157
53,5,9.00000000,1,44
54,5,10.00000000,1,126
55,5,8.00000000,1,153
56,5,1.00000000,1,233
57,5,2.00000000,1,178
58,5,2.00000000,1,201
59,5,6.00000000,1,83
60,6,5.00000000,1,214
61,6,4.00000000,1,20
62,6,1.00000000,1,126
63,6,7.00000000,1,220
64,6,10.00000000,1,102
65,6,0.00000000,1,239
66,6,2.00000000,1,73
67,6,0.00000000,1,255
68,6,7.00000000,1,143
69,6,1.00000000,1,205
70,6,10.00000000,1,30
71,6,9.00000000,1,156
72,6,6.00000000,1,114
73,6,1.00000000,1,230
74,6,9.00000000,1,240
75,6,7.00000000,1,79
76,6,8.00000000,1,119
77,6,3.00000000,1,215
78,6,10.00000000,1,57
79,6,7.00000000,1,83
80,6,5.00000000,1,201
81,7,3.00000000,1,51
82,7,9.00000000,1,158
83,7,8.00000000,1,244
84,7,0.00000000,1,212
85,7,9.00000000,1,212
86,7,4.00000000,1,89
87,7,8.00000000,1,53
88,7,9.00000000,1,50
89,7,4.00000000,1,244
90,7,5.00000000,1,207
91,7,10.00000000,1,144
92,7,10.00000000,1,72
93,7,1.00000000,1,143
94,7,6.00000000,1,230
95,8,9.00000000,1,42
96,8,4.00000000,1,192
97,8,8.00000000,1,43
98,8,8.00000000,1,129
99,8,6.00000000,1,68
100,8,9.00000000,1,95
101,8,3.00000000,1,0
102,8,7.00000000,1,97
103,8,5.00000000,1,190
104,8,2.00000000,1,5
105,8,9.00000000,1,7
106,9,10.00000000,1,130
107,10,5.00000000,1,112
108,10,10.00000000,1,218
109,10,3.00000000,1,84
110,10,9.00000000,1,177
111,10,3.00000000,1,62
112,10,1.00000000,1,21
113,10,3.00000000,1,70
114,10,10.00000000,1,4
115,10,7.00000000,1,115
116,10,5.00000000,1,217
117,10,4.00000000,1,47
118,10,5.00000000,1,104
119,11,5.00000000,1,74
120,11,2.00000000,1,208
121,11,8.00000000,1,104
122,11,2.00000000,1,250
123,11,9.00000000,1,187
124,11,1.00000000,1,173
125,11,8.00000000,1,36
126,11,10.00000000,1,121
127,11,6.00000000,1,82
128,11,1.00000000,1,37
129,11,8.00000000,1,229
130,11,2.00000000,1,244
131,11,9.00000000,1,211
132,11,2.00000000,1,40
133,11,8.00000000,1,245
