Topology,Timeslots,Cores,Switches,Links,PROGRAM,L,ALPHA,TASK_MSG_START,Average Link Length,Average Wire Width,Total Wire Width,Total Wire Cost,Average Wire Cost,Total Schedule Size,Total Memory,Average Memory,Average Latency,Max Latency,Total Utilization,Total Schedule Utilization,Total Lag
mesh,8,16,16,24,RS_32_28_8_dec,0,0,0,1,24.8542,1193,1193,24.8542,8768,574,35.875,3.77349,15,1.188628,91.8692,-2
mesh,8,16,16,24,RS_32_28_8_dec,0,0.5,0,1,3.22917,155,155,3.22917,1084,121,7.5625,3.25642,14,8.8408,87.4194,-42
mesh,8,16,16,24,RS_32_28_8_dec,0,1,0,1,2.16667,104,104,2.16667,684,90,5.625,2.76153,8,16.44096,82.2115,-234
mesh,8,16,16,24,RS_32_28_8_dec,0,2,0,1,1.4375,69,69,1.4375,408,80,5,3.06219,8,23.4718,73.913,-1025
mesh,8,16,16,24,RS_32_28_8_dec,1,0,0,1,12.8333,616,616,12.8333,4440,319,19.9375,3.52701,11,2.263628,90.0974,-5
mesh,8,16,16,24,RS_32_28_8_dec,1,0.5,0,1,2.97917,143,143,2.97917,980,113,7.0625,3.32569,15,10.70076,85.6643,-44
mesh,8,16,16,24,RS_32_28_8_dec,1,1,0,1,2.04167,98,98,2.04167,652,91,5.6875,2.82561,10,17.41392,83.1633,-256
mesh,8,16,16,24,RS_32_28_8_dec,1,2,0,1,1.4375,69,69,1.4375,408,80,5,3.06219,8,23.4718,73.913,-1456
mesh,8,16,16,24,RS_32_28_8_dec,2,2,0,1,1.4375,69,69,1.4375,408,79,4.9375,3.03737,10,23.30348,73.913,-1632
mesh,8,16,16,24,RS_32_28_8_dec,30,0,0,1,1.6875,81,81,1.6875,488,84,5.25,3.17943,10,19.66228,75.3086,-42
mesh,8,16,16,24,RS_32_28_8_dec,30,1,0,1,1.33333,64,64,1.33333,344,69,4.3125,3.05742,8,27.51304,67.1875,-136
mesh,8,64,64,112,RS_32_28_8_dec,0,0,0,1,18.7098,4191,4191,18.7098,29840,2384,37.25,4.69735,19,0.97126,89.0002,-3
mesh,18,64,64,112,RS_32_28_8_dec,0,0.5,0,1,2.80804,629,629,2.80804,9144,488,7.625,6.33806,36,3.046588,80.7631,-189
mesh,8,64,64,112,RS_32_28_8_dec,0,1,0,1,1.86161,417,417,1.86161,2760,283,4.42188,3.8516,20,7.55844,82.7338,-245
mesh,8,64,64,112,RS_32_28_8_dec,0,2,0,1,1.28571,288,288,1.28571,1612,205,3.20313,4.05943,17,11.28324,69.9653,-569
mesh,8,64,64,112,RS_32_28_8_dec,1,0,0,1,9.74107,2182,2182,9.74107,15168,1231,19.2344,4.57847,19,1.850248,86.8928,-6
mesh,8,64,64,112,RS_32_28_8_dec,1,0.5,0,1,2.62946,589,589,2.62946,3784,355,5.54688,4.05529,15,5.6118,80.3056,-268
mesh,8,64,64,112,RS_32_28_8_dec,1,1,0,1,1.8125,406,406,1.8125,2584,261,4.07813,4.01746,20,7.45404,79.5567,-303
mesh,8,64,64,112,RS_32_28_8_dec,1,2,0,1,1.28571,288,288,1.28571,1612,212,3.3125,4.08515,17,11.24252,69.9653,-726
mesh,8,64,64,112,RS_32_28_8_dec,2,2,0,1,1.28571,288,288,1.28571,1612,213,3.32813,4.07517,17,11.27884,69.9653,-943
mesh,8,64,64,112,RS_32_28_8_dec,30,0,0,1,1.40179,314,314,1.40179,1744,233,3.64063,4.13201,16,9.68752,69.4268,-67
mesh,8,64,64,112,RS_32_28_8_dec,30,1,0,1,1.11161,249,249,1.11161,1244,184,2.875,4.1024,22,12.92468,62.4498,-199
