# num-edges , num-vertices ,VariableBandWidthRandom_16
58,16
# edge num,from,to,edge price 
0,11,7,1
1,7,11,1
2,8,10,2
3,10,8,2
4,2,12,3.60555
5,12,2,3.60555
6,11,8,3
7,8,11,3
8,10,6,1
9,6,10,1
10,6,11,1.41421
11,11,6,1.41421
12,3,8,3.60555
13,8,3,3.60555
14,14,7,2.23607
15,7,14,2.23607
16,12,1,3.16228
17,1,12,3.16228
18,6,8,2.23607
19,8,6,2.23607
20,6,1,1.41421
21,1,6,1.41421
22,5,8,1.41421
23,8,5,1.41421
24,8,1,2.23607
25,1,8,2.23607
26,8,0,2
27,0,8,2
28,2,13,3.16228
29,13,2,3.16228
30,6,13,2.23607
31,13,6,2.23607
32,1,12,3.16228
33,12,1,3.16228
34,10,4,2.23607
35,4,10,2.23607
36,9,14,1.41421
37,14,9,1.41421
38,0,10,2.82843
39,10,0,2.82843
40,7,1,2.23607
41,1,7,2.23607
42,0,15,4.24264
43,15,0,4.24264
44,0,5,1.41421
45,5,0,1.41421
46,11,10,1
47,10,11,1
48,7,14,2.23607
49,14,7,2.23607
50,3,7,1
51,7,3,1
52,3,10,2.23607
53,10,3,2.23607
54,0,15,4.24264
55,15,0,4.24264
56,0,4,1
57,4,0,1
