# time slot,request num,vertex1,vertex2,edge num,flow in slot,in port,out port
2,23,11,7,0,5.000000,-1,1
6,23,11,7,0,5.000000,-1,1
2,23,11,7,0,5.000000,-1,1
6,23,11,7,0,5.000000,-1,1
3,23,11,7,0,5.000000,-1,1
0,23,11,7,0,5.000000,-1,1
4,23,11,7,0,5.000000,-1,1
0,23,11,7,0,2.000000,-1,1
2,28,7,11,1,6.000000,-1,2
7,28,7,11,1,6.000000,-1,2
4,28,7,11,1,6.000000,-1,2
1,28,7,11,1,2.000000,-1,2
6,28,7,11,1,6.000000,-1,2
3,28,7,11,1,2.000000,-1,2
0,28,7,11,1,5.000000,-1,2
0,9,10,8,3,10.000000,-1,4
2,9,10,8,3,10.000000,-1,4
4,9,10,8,3,10.000000,-1,4
6,9,10,8,3,10.000000,-1,4
1,9,10,8,3,10.000000,-1,4
3,9,10,8,3,10.000000,-1,4
5,9,10,8,3,10.000000,-1,4
7,9,10,8,3,4.000000,-1,4
0,1,2,12,4,6.000000,-1,0
1,1,2,12,4,6.000000,-1,0
2,1,2,12,4,6.000000,-1,0
3,1,2,12,4,6.000000,-1,0
4,1,2,12,4,6.000000,-1,0
5,1,2,12,4,6.000000,-1,0
6,1,2,12,4,5.000000,-1,0
3,18,12,2,5,6.000000,-1,1
7,18,12,2,5,6.000000,-1,1
3,18,12,2,5,4.000000,-1,1
7,18,12,2,5,4.000000,-1,1
4,18,12,2,5,6.000000,-1,1
0,18,12,2,5,6.000000,-1,1
4,18,12,2,5,4.000000,-1,1
0,18,12,2,5,2.000000,-1,1
2,27,12,2,5,6.000000,-1,1
5,27,12,2,5,6.000000,-1,1
0,27,12,2,5,6.000000,-1,1
5,27,12,2,5,6.000000,-1,1
0,27,12,2,5,1.000000,-1,1
6,27,12,2,5,5.000000,-1,1
1,27,12,2,5,6.000000,-1,1
6,27,12,2,5,1.000000,-1,1
0,5,10,6,8,5.000000,-1,3
3,5,10,6,8,5.000000,-1,3
6,5,10,6,8,5.000000,-1,3
1,5,10,6,8,5.000000,-1,3
4,5,10,6,8,5.000000,-1,3
7,5,10,6,8,5.000000,-1,3
2,5,10,6,8,3.000000,-1,3
2,8,10,6,8,6.000000,-1,3
7,8,10,6,8,6.000000,-1,3
4,8,10,6,8,6.000000,-1,3
1,8,10,6,8,5.000000,-1,3
6,8,10,6,8,6.000000,-1,3
3,8,10,6,8,5.000000,-1,3
0,8,10,6,8,5.000000,-1,3
2,21,10,6,8,2.000000,-1,3
7,21,10,6,8,2.000000,-1,3
4,21,10,6,8,2.000000,-1,3
2,21,10,6,8,2.000000,-1,3
0,21,10,6,8,3.000000,-1,3
5,21,10,6,8,3.000000,-1,3
4,21,10,6,8,2.000000,-1,3
5,21,10,6,8,2.000000,-1,3
6,21,10,6,8,2.000000,-1,3
1,22,10,6,8,8.000000,-1,3
4,22,10,6,8,8.000000,-1,3
7,22,10,6,8,8.000000,-1,3
2,22,10,6,8,8.000000,-1,3
5,22,10,6,8,8.000000,-1,3
0,22,10,6,8,8.000000,-1,3
3,22,10,6,8,8.000000,-1,3
6,22,10,6,8,2.000000,-1,3
0,11,6,10,9,6.000000,-1,2
2,11,6,10,9,6.000000,-1,2
4,11,6,10,9,6.000000,-1,2
6,11,6,10,9,6.000000,-1,2
0,11,6,10,9,6.000000,-1,2
3,11,6,10,9,6.000000,-1,2
5,11,6,10,9,5.000000,-1,2
1,19,6,10,9,10.000000,-1,2
3,19,6,10,9,9.000000,-1,2
5,19,6,10,9,10.000000,-1,2
7,19,6,10,9,10.000000,-1,2
2,19,6,10,9,9.000000,-1,2
4,19,6,10,9,9.000000,-1,2
6,19,6,10,9,9.000000,-1,2
0,19,6,10,9,3.000000,-1,2
0,25,6,11,10,8.000000,-1,3
1,25,6,11,10,8.000000,-1,3
2,25,6,11,10,8.000000,-1,3
3,25,6,11,10,8.000000,-1,3
4,25,6,11,10,8.000000,-1,3
5,25,6,11,10,8.000000,-1,3
6,25,6,11,10,8.000000,-1,3
7,25,6,11,10,2.000000,-1,3
3,28,11,6,11,6.000000,-1,0
0,28,11,6,11,6.000000,-1,0
5,28,11,6,11,6.000000,-1,0
2,28,11,6,11,2.000000,-1,0
7,28,11,6,11,6.000000,-1,0
4,28,11,6,11,2.000000,-1,0
1,28,11,6,11,5.000000,-1,0
0,4,8,6,19,10.000000,-1,4
1,4,8,6,19,10.000000,-1,4
2,4,8,6,19,10.000000,-1,4
3,4,8,6,19,10.000000,-1,4
4,4,8,6,19,10.000000,-1,4
5,4,8,6,19,10.000000,-1,4
6,4,8,6,19,10.000000,-1,4
7,4,8,6,19,4.000000,-1,4
0,13,8,6,19,9.000000,-1,4
2,13,8,6,19,9.000000,-1,4
4,13,8,6,19,9.000000,-1,4
6,13,8,6,19,9.000000,-1,4
1,13,8,6,19,9.000000,-1,4
3,13,8,6,19,9.000000,-1,4
5,13,8,6,19,9.000000,-1,4
7,13,8,6,19,10.000000,-1,4
7,13,8,6,19,1.000000,-1,4
0,2,6,1,20,6.000000,-1,0
1,2,6,1,20,6.000000,-1,0
2,2,6,1,20,6.000000,-1,0
3,2,6,1,20,6.000000,-1,0
4,2,6,1,20,6.000000,-1,0
5,2,6,1,20,6.000000,-1,0
6,2,6,1,20,5.000000,-1,0
1,5,6,1,20,5.000000,-1,0
4,5,6,1,20,5.000000,-1,0
7,5,6,1,20,5.000000,-1,0
2,5,6,1,20,5.000000,-1,0
5,5,6,1,20,5.000000,-1,0
0,5,6,1,20,5.000000,-1,0
3,5,6,1,20,3.000000,-1,0
1,9,8,5,23,10.000000,-1,3
3,9,8,5,23,10.000000,-1,3
5,9,8,5,23,10.000000,-1,3
7,9,8,5,23,10.000000,-1,3
2,9,8,5,23,10.000000,-1,3
4,9,8,5,23,10.000000,-1,3
6,9,8,5,23,10.000000,-1,3
0,9,8,5,23,4.000000,-1,3
0,27,8,1,24,6.000000,-1,1
3,27,8,1,24,6.000000,-1,1
6,27,8,1,24,6.000000,-1,1
1,27,8,1,24,6.000000,-1,1
6,27,8,1,24,5.000000,-1,1
1,27,8,1,24,5.000000,-1,1
7,27,8,1,24,6.000000,-1,1
2,27,8,1,24,1.000000,-1,1
0,15,1,8,25,4.000000,-1,2
3,15,1,8,25,4.000000,-1,2
6,15,1,8,25,4.000000,-1,2
1,15,1,8,25,4.000000,-1,2
4,15,1,8,25,4.000000,-1,2
7,15,1,8,25,4.000000,-1,2
2,15,1,8,25,4.000000,-1,2
5,15,1,8,25,1.000000,-1,2
1,15,8,0,26,4.000000,-1,0
4,15,8,0,26,4.000000,-1,0
7,15,8,0,26,4.000000,-1,0
2,15,8,0,26,4.000000,-1,0
5,15,8,0,26,4.000000,-1,0
0,15,8,0,26,4.000000,-1,0
3,15,8,0,26,4.000000,-1,0
6,15,8,0,26,1.000000,-1,0
4,8,13,2,29,6.000000,-1,0
1,8,13,2,29,6.000000,-1,0
6,8,13,2,29,6.000000,-1,0
3,8,13,2,29,5.000000,-1,0
0,8,13,2,29,6.000000,-1,0
5,8,13,2,29,5.000000,-1,0
2,8,13,2,29,5.000000,-1,0
4,21,13,2,29,2.000000,-1,0
1,21,13,2,29,2.000000,-1,0
6,21,13,2,29,2.000000,-1,0
4,21,13,2,29,2.000000,-1,0
2,21,13,2,29,3.000000,-1,0
7,21,13,2,29,3.000000,-1,0
6,21,13,2,29,2.000000,-1,0
7,21,13,2,29,2.000000,-1,0
0,21,13,2,29,2.000000,-1,0
3,8,6,13,30,6.000000,-1,4
0,8,6,13,30,6.000000,-1,4
5,8,6,13,30,6.000000,-1,4
2,8,6,13,30,5.000000,-1,4
7,8,6,13,30,6.000000,-1,4
4,8,6,13,30,5.000000,-1,4
1,8,6,13,30,5.000000,-1,4
1,13,6,13,30,9.000000,-1,4
3,13,6,13,30,9.000000,-1,4
5,13,6,13,30,9.000000,-1,4
7,13,6,13,30,9.000000,-1,4
2,13,6,13,30,9.000000,-1,4
4,13,6,13,30,9.000000,-1,4
6,13,6,13,30,9.000000,-1,4
0,13,6,13,30,10.000000,-1,4
0,13,6,13,30,1.000000,-1,4
3,21,6,13,30,2.000000,-1,4
0,21,6,13,30,2.000000,-1,4
5,21,6,13,30,2.000000,-1,4
3,21,6,13,30,2.000000,-1,4
1,21,6,13,30,3.000000,-1,4
6,21,6,13,30,3.000000,-1,4
5,21,6,13,30,2.000000,-1,4
6,21,6,13,30,2.000000,-1,4
7,21,6,13,30,2.000000,-1,4
2,22,6,13,30,8.000000,-1,4
5,22,6,13,30,8.000000,-1,4
0,22,6,13,30,8.000000,-1,4
3,22,6,13,30,8.000000,-1,4
6,22,6,13,30,8.000000,-1,4
1,22,6,13,30,8.000000,-1,4
4,22,6,13,30,8.000000,-1,4
7,22,6,13,30,2.000000,-1,4
4,28,6,13,30,6.000000,-1,4
1,28,6,13,30,6.000000,-1,4
6,28,6,13,30,6.000000,-1,4
3,28,6,13,30,2.000000,-1,4
0,28,6,13,30,6.000000,-1,4
5,28,6,13,30,2.000000,-1,4
2,28,6,13,30,5.000000,-1,4
0,19,13,6,31,10.000000,-1,1
2,19,13,6,31,10.000000,-1,1
4,19,13,6,31,10.000000,-1,1
