# num-edges , num-vertices ,VariableBandWidthRandom_256
1028,256
# edge num,from,to,edge price 
0,47,241,19.105
1,241,47,19.105
2,41,126,7.07107
3,126,41,7.07107
4,52,223,14.8661
5,223,52,14.8661
6,166,105,5
7,105,166,5
8,139,217,5.38516
9,217,139,5.38516
10,0,199,13.8924
11,199,0,13.8924
12,108,134,6.32456
13,134,108,6.32456
14,77,37,8.24621
15,37,77,8.24621
16,192,120,9.43398
17,120,192,9.43398
18,232,68,10.7703
19,68,232,10.7703
20,217,14,13.9284
21,14,217,13.9284
22,195,26,13.0384
23,26,195,13.0384
24,97,152,7.61577
25,152,97,7.61577
26,254,26,14.5602
27,26,254,14.5602
28,144,189,13.1529
29,189,144,13.1529
30,184,181,3
31,181,184,3
32,162,26,12.0416
33,26,162,12.0416
34,37,33,4
35,33,37,4
36,137,44,6.7082
37,44,137,6.7082
38,224,89,12.7279
39,89,224,12.7279
40,223,112,16.1555
41,112,223,16.1555
42,131,101,2.82843
43,101,131,2.82843
44,30,200,12.53
45,200,30,12.53
46,118,219,7.81025
47,219,118,7.81025
48,19,33,2.23607
49,33,19,2.23607
50,4,166,10.198
51,166,4,10.198
52,144,83,5
53,83,144,5
54,180,6,11.1803
55,6,180,11.1803
56,98,72,6.32456
57,72,98,6.32456
58,214,216,2
59,216,214,2
60,130,97,2.23607
61,97,130,2.23607
62,92,24,5.65685
63,24,92,5.65685
64,144,21,9.43398
65,21,144,9.43398
66,235,164,8.06226
67,164,235,8.06226
68,124,220,6
69,220,124,6
70,50,66,1
71,66,50,1
72,135,75,5.65685
73,75,135,5.65685
74,123,229,9.21954
75,229,123,9.21954
76,106,128,10.198
77,128,106,10.198
78,127,44,5.83095
79,44,127,5.83095
80,212,192,4.12311
81,192,212,4.12311
82,127,44,5.83095
83,44,127,5.83095
84,26,95,6.40312
85,95,26,6.40312
86,144,111,15.2971
87,111,144,15.2971
88,42,224,15.6205
89,224,42,15.6205
90,55,60,5
91,60,55,5
92,194,94,13.8924
93,94,194,13.8924
94,53,25,4.47214
95,25,53,4.47214
96,223,43,11.7047
97,43,223,11.7047
98,164,143,11.1803
99,143,164,11.1803
100,119,182,4.12311
101,182,119,4.12311
102,67,45,10.198
103,45,67,10.198
104,106,178,9.43398
105,178,106,9.43398
106,15,208,19.8494
107,208,15,19.8494
108,183,116,5
109,116,183,5
110,19,33,2.23607
111,33,19,2.23607
112,235,157,5.38516
113,157,235,5.38516
114,128,94,14.3178
115,94,128,14.3178
116,224,250,10.0499
117,250,224,10.0499
118,0,94,14.8661
119,94,0,14.8661
120,163,168,5
121,168,163,5
122,72,207,10.6301
123,207,72,10.6301
124,182,124,7.2111
125,124,182,7.2111
126,236,195,9.21954
127,195,236,9.21954
128,120,161,7.61577
129,161,120,7.61577
130,120,107,3.16228
131,107,120,3.16228
132,225,131,6.32456
133,131,225,6.32456
134,188,33,14.2127
135,33,188,14.2127
136,114,236,12.2066
137,236,114,12.2066
138,103,172,6.40312
139,172,103,6.40312
140,108,109,1
141,109,108,1
142,216,192,8.06226
143,192,216,8.06226
144,65,0,4.12311
145,0,65,4.12311
146,48,197,10.2956
147,197,48,10.2956
148,72,235,10.4403
149,235,72,10.4403
150,172,217,4.24264
151,217,172,4.24264
152,180,232,5
153,232,180,5
154,50,24,6.32456
155,24,50,6.32456
156,199,130,6.40312
157,130,199,6.40312
158,41,27,2.23607
159,27,41,2.23607
160,67,194,8.06226
161,194,67,8.06226
162,142,190,3
163,190,142,3
164,34,11,9.21954
165,11,34,9.21954
166,68,39,3.60555
167,39,68,3.60555
168,134,67,5
169,67,134,5
170,172,4,12.8062
171,4,172,12.8062
172,243,51,12
173,51,243,12
174,118,19,6.7082
175,19,118,6.7082
176,188,49,13.6015
177,49,188,13.6015
178,183,232,3.16228
179,232,183,3.16228
180,187,252,4.12311
181,252,187,4.12311
182,59,235,11
183,235,59,11
184,69,231,10.198
185,231,69,10.198
186,28,160,15
187,160,28,15
188,93,58,3.60555
189,58,93,3.60555
190,147,43,10.6301
191,43,147,10.6301
